name,email,phone,company,website,city,country_code,address,review_count,review_score,segment,source,niche,place_id,instagram,facebook,linkedin
HOSTAL BOUTIQUE BLACK CAT,reservas@blackcathostal.com,+56 9 4910 5984,HOSTAL BOUTIQUE BLACK CAT,http://www.blackcathostal.com/,Santiago,CL,,193,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hostal Low Cost,,+56 9 7136 5080,Hostal Low Cost,https://www.webpay.cl/company/60461,Santiago,CL,,51,3.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hostal Forestal,reservas@hostalforestal.com,+56 9 7132 1606,Hostal Forestal,https://www.hostalforestal.com/,Santiago,CL,,632,4.5,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Casa Bueras Boutique - Hotel en Lastarria,info@lastarriahotel.com,+56 2 2840 3700,Casa Bueras Boutique - Hotel en Lastarria,http://www.casabuerashotel.com/,Santiago,CL,,282,4.5,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Casa Bueras Boutique - Hotel en Lastarria,reservas@lastarriahotel.com,+56 2 2840 3700,Casa Bueras Boutique - Hotel en Lastarria,http://www.casabuerashotel.com/,Santiago,CL,,282,4.5,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Departamentos Torre San Isidro 45,departamentos@torresanisidro.cl,+56 9 3888 8132,Departamentos Torre San Isidro 45,http://www.torresanisidro.cl/,Santiago,CL,,62,4.4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Le Méridien Santiago,,+56 2 2638 1042,Le Méridien Santiago,https://www.marriott.com/en-us/hotels/sclhp-le-meridien-santiago/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"Santiago de Chle, Santiago",CL,,369,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Lastarria Hotel,contacto@lastarria.cl,+56 2 2638 3230,Lastarria Hotel,http://lastarria.cl/,Santiago,CL,,70,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Concha Y Toro 33 Hotel Boutique By Nobile,,+56 9 9952 9909,Concha Y Toro 33 Hotel Boutique By Nobile,https://www.nobilehoteis.com.br/america-latina/chile/santiago/concha-y-toro-33-hotel-boutique-by-nobile/,Santiago,CL,,62,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hostal Merced 88,contacto@merced88.cl,+56 9 6227 9463,Hostal Merced 88,http://www.merced88.cl/,Santiago,CL,,563,4.5,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hostal Merced 88,zolledezma@cafcapital.cl,+56 9 6227 9463,Hostal Merced 88,http://www.merced88.cl/,Santiago,CL,,563,4.5,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
VIP Apartments Chile,,+56 9 7602 1046,VIP Apartments Chile,http://www.vipapartments.cl/,Santiago,CL,,275,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
