name,email,phone,company,website,city,country_code,address,segment,source,niche,place_id
Le Meridien Hotel,,+56 2 2685 5030,Le Meridien Hotel,https://www.marriott.com/es/hotels/sclhp-le-meridien-santiago/overview/,Santiago,CL,Avenida Libertador Bernardo O'Higgins 136,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/252528804
NH Collection Hotels,,,NH Collection Hotels,,Las Condes,CL,Avenida Vitacura 2610,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/298973459
Hotel Plaza San Francisco,reservas@plazasanfrancisco.cl,+56 226393832,Hotel Plaza San Francisco,https://www.plazasanfrancisco.cl/,Santiago,CL,Avenida Libertador Bernardo O'Higgins 816,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/373489716
Hotel Plaza San Francisco,hotel@plazasanfrancisco.cl,+56 226393832,Hotel Plaza San Francisco,https://www.plazasanfrancisco.cl/,Santiago,CL,Avenida Libertador Bernardo O'Higgins 816,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/373489716
Andes Hostel,,,Andes Hostel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/470328567
Apart Hotel Bellas Artes,,,Apart Hotel Bellas Artes,,Santiago,CL,Mosqueto 403,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/470328574
Hotel Diego de Almagro,,,Hotel Diego de Almagro,,Santiago,CL,Avenida Libertador Bernardo O'Higgins 1485,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/470354998
Hotel Galerias,,+56 224707400,Hotel Galerias,http://www.hotelgalerias.cl,Santiago,CL,San Antonio 65,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/470355001
Imperio Suites,,,Imperio Suites,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/577499511
Los Españoles,,,Los Españoles,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/584243447
Hotel Acacias de Vitacura,,,Hotel Acacias de Vitacura,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/598043009
Hotel Las Flores,,,Hotel Las Flores,,Providencia,CL,Antonio Varas 423,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/663047750
Chilhotel,,,Chilhotel,,Providencia,CL,Cirujano Guzman 103,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/673025706
De Blasis B&B,,,De Blasis B&B,,Providencia,CL,General Flores 159,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/673025718
Posada del Salvador,posadadelsalvador@yahoo.es,+562235 9450,Posada del Salvador,https://www.posadadelsalvador.cl/,Providencia,CL,Eliodoro Yáñez 893,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/677236449
Door's,,,Door's,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/686975896
La Fayette,,,La Fayette,,Providencia,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/693176930
Hotel Marina Las Condes,,,Hotel Marina Las Condes,,Las Condes,CL,Avenida Alonso de Córdova 5727,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/700728943
Nilontrato Bed & Breakfast,,,Nilontrato Bed & Breakfast,,Providencia,CL,General Flores 238,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/702551301
Apart Hotel Bosque Tobalaba,,,Apart Hotel Bosque Tobalaba,,Providencia,CL,Luis Thayer Ojeda 027,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/704987931
Time Suites & Apartments Ch,,,Time Suites & Apartments Ch,,Las Condes,CL,Callao 2988,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/704988036
Meridiano Sur Petit Hotel,,,Meridiano Sur Petit Hotel,,Providencia,CL,Santa Beatriz 256,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/737144232
Hotel Alcala del Rio,,,Hotel Alcala del Rio,,Providencia,CL,Padre Mariano 331,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/737152384
Hotel Fundador,,,Hotel Fundador,,Santiago,CL,Serrano 34,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/837480825
Tupahue,,,Tupahue,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/890540215
Panamericana Hotel Providencia,,,Panamericana Hotel Providencia,,Providencia,CL,Francisco Noguera 146,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/976145327
Apart Hotel Diego de Almagro,,,Apart Hotel Diego de Almagro,,Las Condes,CL,Avenida Apoquindo,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1110457902
Hotel Park Inn,,+56222151535,Hotel Park Inn,,Las Condes,CL,Avenida Las Condes 13343,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1119960125
Plaza El Bosque,,,Plaza El Bosque,,Las Condes,CL,Ebro 2828,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1120470875
Hotel Windsor,,+5624693100,Hotel Windsor,https://www.hotelwindsor.cl/,Santiago,CL,Victoria Subercaseaux 65,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1130734017
Aconcagua Hostel,,+56229204587,Aconcagua Hostel,www.aconcaguahostel.cl,Providencia,CL,Román Díaz 41,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1156948519
GEN Suite & Spa,,,GEN Suite & Spa,https://www.gensuite.cl/,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1214175716
Mela Blue,,,Mela Blue,,Santiago,CL,Villavicencio 395,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1276936943
Chile Apart,,,Chile Apart,,Santiago,CL,Merced 562,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1276936946
Windsor Palace Apartment Hotel,,,Windsor Palace Apartment Hotel,,Santiago,CL,Huérfanos 1400,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1276982845
Bellas Artes Suites,,,Bellas Artes Suites,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1276982855
San Marino,,,San Marino,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1276982857
Casaltura,,,Casaltura,,Santiago,CL,San Antonio,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1276982862
Mercure Hotel Santiago Centro,h8924-re@accor.com,+56 2 25956622,Mercure Hotel Santiago Centro,https://www.accorhotels.com/gb/hotel-8924-mercure-santiago-centro/index.shtml,Santiago,CL,Avenida Libertador Bernardo O'Higgins 632,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1297908107
The Aubrey,reservas@theaubrey.com,+56 2 29402800,The Aubrey,https://www.theaubrey.com/,Santiago,CL,299,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1299241104
Hostel Housing Horizonte,,,Hostel Housing Horizonte,,Santiago,CL,Maturana 557,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1372276200
Hotel Libertador,contacto@hotellibertador.cl,,Hotel Libertador,https://www.hotellibertador.cl/,Santiago,CL,Avenida Libertador Bernardo O'Higgins 853,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1395559943
Casona San Jose,,,Casona San Jose,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1401460250
ABRACADABRA Bed&Breakfast,,,ABRACADABRA Bed&Breakfast,,Santiago,CL,Maturana 567,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1724367108
Santiago Backpackers,reservas@santiagobackpackers.com,+56 2 26648451,Santiago Backpackers,https://www.santiagobackpackers.com/,Santiago,CL,Enrique Mac Iver 661,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1748379180
Tourist Apt.,,,Tourist Apt.,,Santiago,CL,José Victorino Lastarria,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841288592
Hotel Lastarria Boutique,info@lastarriahotel.com,+56 2 28403700,Hotel Lastarria Boutique,https://www.lastarriahotel.com/,Santiago,CL,Santiago Bueras 188,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841288599
Poker,,,Poker,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841288600
Cerro Urbano Departamentos,,,Cerro Urbano Departamentos,,Santiago,CL,Merced 562,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297385
Midas Siute Rental,,,Midas Siute Rental,,Santiago,CL,Merced 562,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297386
Costa Bellas Artes,,,Costa Bellas Artes,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297388
Hotel Ciudad de Vitoria,,,Hotel Ciudad de Vitoria,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297389
Apart Hotel Boutique Bellas Artes,,,Apart Hotel Boutique Bellas Artes,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297391
Santiago Suite Apartments,,,Santiago Suite Apartments,,Santiago,CL,Merced 562,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297392
Plaza Suite,,,Plaza Suite,,Santiago,CL,Huérfanos 547,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841297393
Apart Hotel Torre Tagle,,,Apart Hotel Torre Tagle,,Santiago,CL,Huérfanos,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841300602
Hotel Altiplanico,,,Hotel Altiplanico,,Santiago,CL,Santo Domingo 526,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841310713
Hotel Oveja Negra,,,Hotel Oveja Negra,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1841317945
Admiral,,,Admiral,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1923693975
Hotel Victoria,,,Hotel Victoria,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1946851552
Hotel Vegas,info@hotelvegas.net,+562 632 25 14,Hotel Vegas,https://www.hotelvegas.net/,Santiago,CL,Londres 49,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1949641649
Hotel Vegas,reservas@hotelvegas.net,+562 632 25 14,Hotel Vegas,https://www.hotelvegas.net/,Santiago,CL,Londres 49,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1949641649
Hostal Rio Amazonas,,,Hostal Rio Amazonas,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1974429972
Hotel Riviera,,,Hotel Riviera,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/1983441597
Aji Hostel,recepcion@ajihostel.cl,+56222364401,Aji Hostel,https://www.ajihostel.cl,Providencia,CL,Triana 863,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2037664115
Aji Hostel,user@domain.com,+56222364401,Aji Hostel,https://www.ajihostel.cl,Providencia,CL,Triana 863,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2037664115
Hostel Atacama,,,Hostel Atacama,,Providencia,CL,Román Díaz,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2037664116
Hotel Indiana,,,Hotel Indiana,,Santiago,CL,Rosas 1339,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2186747066
Happy House Hostel,,,Happy House Hostel,,Santiago,CL,Moneda 1829,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2327316002
Tempo Apart Hotel,,,Tempo Apart Hotel,,Santiago,CL,Santa Magdalena 116,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2390530350
Carlton Apart Hotel,,,Carlton Apart Hotel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2412084304
Hostal Forestal,,+56 22 6381347,Hostal Forestal,http://www.hostalforestal.cl/,Santiago,CL,Coronel Bueras 122,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2425960053
Hotel Principiado de Asturias,,,Hotel Principiado de Asturias,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2425960054
Hostal El Raco,,,Hostal El Raco,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2463425827
Continental,,,Continental,,Santiago,CL,Trinidad Ramírez 0220,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2528365739
Gran Palace,,,Gran Palace,,Santiago,CL,Paseo Huérfanos 1178,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2584336815
Hotel Cienfuegos,,,Hotel Cienfuegos,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2612702102
Hostal Patio Europeo,,,Hostal Patio Europeo,http://www.patio-europeo.com/,Providencia,CL,Avenida Condell 847,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/2954762631
Residencial Universitaria,,,Residencial Universitaria,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3051133720
Motel Echaurren 316,,,Motel Echaurren 316,,Santiago,CL,Echaurren 316,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3051150263
Castillo Rojo,info@castillorojohotel.com,+56 223524500,Castillo Rojo,https://www.castillorojohotel.com/,Providencia,CL,Constitución 195,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3107949816
Castillo Rojo,recepcion@castillorojohotel.com,+56 223524500,Castillo Rojo,https://www.castillorojohotel.com/,Providencia,CL,Constitución 195,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3107949816
Hostel Plaza de Armas,,,Hostel Plaza de Armas,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3181346878
Residencial Sol del Maule,,,Residencial Sol del Maule,,Santiago,CL,República,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3312588678
ParisLondres,,,ParisLondres,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3370808293
Hotel Paris,,,Hotel Paris,,Santiago,CL,París 813,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3370832893
Oshostel,,,Oshostel,,Santiago,CL,Merced 305,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3371046193
Verde Madera B&B,,+56942167935,Verde Madera B&B,http://www.verdemaderabb.cl/,Ñuñoa,CL,Pascual Baburizza 501,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3400974462
Casa Sur Charming Hotel,,,Casa Sur Charming Hotel,,Santiago,CL,Eduardo Hyatt 527,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3479404274
Hotel Moon,,,Hotel Moon,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3575156994
Landay Hostel,,,Landay Hostel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3726922712
Hostel La Chimba,info@lachimba.com,28997140,Hostel La Chimba,,Santiago,CL,Ernesto Pinto Lagarrigue 262,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3796319871
Kombi Hostel,,,Kombi Hostel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3818081484
Atajo,,,Atajo,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3863283933
Selk Hostel,,,Selk Hostel,,Santiago,CL,General Bulnes 531,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/3951018558
CLH Suites,,,CLH Suites,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4049295295
The Princesa Insolente,,,The Princesa Insolente,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4108946389
