name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Antofagasta,ventas@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Enjoy Antofagasta Hotel del Desierto,Not found,+56 55 265 3000,Enjoy Antofagasta Hotel del Desierto,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,enjoyantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""enjoyantofagasta.com"", ""page"": ""companies/antofagasta/enjoy-antofagasta-hotel-del-desierto.html"", ""vertical"": ""Tourism""}"
Geotel Antofagasta,Not found,+56 55 257 4400,Geotel Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,geotelantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""geotelantofagasta.com"", ""page"": ""companies/antofagasta/geotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Terrado Suites Antofagasta,reservas1@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
Hampton by Hilton Antofagasta,Not found,,Hampton by Hilton Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hilton.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hilton.com"", ""page"": ""companies/antofagasta/hampton-by-hilton-antofagasta.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta Centro,Not found,+56 55 225287 / +56 55 226810,Hotel Antofagasta Centro,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagastacentro.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagastacentro.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta-centro.html"", ""vertical"": ""Tourism""}"
Alto Antofagasta Apart Hotel,Not found,,Alto Antofagasta Apart Hotel,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,altoantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""altoantofagasta.com"", ""page"": ""companies/antofagasta/alto-antofagasta-apart-hotel.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,contacto@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Hostal Pampaloja,hostalpampaloja@gmail.com,+56 9 9866 8651 / 55-2244128,Hostal Pampaloja,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hostalpampaloja.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostalpampaloja.cl"", ""page"": ""companies/antofagasta/hostal-pampaloja.html"", ""vertical"": ""Tourism""}"
Fragga Hospedaje Boutique,Not found,,Fragga Hospedaje Boutique,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/antofagasta/fragga-hospedaje-boutique.html"", ""vertical"": ""Tourism""}"
