name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hostal Providencia,reservas@hostalprovidencia.com,+56 9 5438 7326,Hostal Providencia,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,hostalprovidencia.com,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""hostalprovidencia.com"", ""page"": ""companies/santiago/hostal-providencia.html"", ""vertical"": ""Tourism""}"
Apart Hotel B,contacto@aparthotelb.cl,+56 2 273 262 29,Apart Hotel B,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,aparthotelb.cl,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""aparthotelb.cl"", ""page"": ""companies/santiago/apart-hotel-b.html"", ""vertical"": ""Tourism""}"
ApartHotel Elite Las Condes,reservas@hoteleraelite.com,+56 2 2380 5025 / +56 9 3392 6142,ApartHotel Elite Las Condes,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,apartelite.com,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""apartelite.com"", ""page"": ""companies/santiago/aparthotel-elite-las-condes.html"", ""vertical"": ""Tourism""}"
Park Plaza Apart Hotel,bookings@parkplaza.cl,+56 2 2372 4010,Park Plaza Apart Hotel,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,parkapartments.cl,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""parkapartments.cl"", ""page"": ""companies/santiago/park-plaza-apart-hotel.html"", ""vertical"": ""Tourism""}"
Hostal Almenas,Not found,+56 9 4447 2352 / +56 2 2894 2584,Hostal Almenas,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,hostalalmenas.cl,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""hostalalmenas.cl"", ""page"": ""companies/santiago/hostal-almenas.html"", ""vertical"": ""Tourism""}"
Hostal Forestal,Not found,,Hostal Forestal,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,hostalforestal.com,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""hostalforestal.com"", ""page"": ""companies/santiago/hostal-forestal.html"", ""vertical"": ""Tourism""}"
Hotel Smart Apart,Not found,+56 9 8808 7415,Hotel Smart Apart,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,hotelsmart.cl,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""hotelsmart.cl"", ""page"": ""companies/santiago/hotel-smart-apart.html"", ""vertical"": ""Tourism""}"
Apart Hotel Cambiaso,Not found,+56 9 9745 2556,Apart Hotel Cambiaso,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,No website,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/santiago/apart-hotel-cambiaso.html"", ""vertical"": ""Tourism""}"
Hotel Boutique Tremo Bellavista,Not found,,Hotel Boutique Tremo Bellavista,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,hoteltremobellavista.com,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""hoteltremobellavista.com"", ""page"": ""companies/santiago/hotel-boutique-tremo-bellavista.html"", ""vertical"": ""Tourism""}"
Casa Arrayán Hotel Boutique,Not found,+56 9 8451 9835,Casa Arrayán Hotel Boutique,Tourism & Hospitality — Santiago,lead,0,tourism,Tourism & Hospitality,santiago,casaarrayan.cl,"{""city"": ""santiago"", ""niche"": ""tourism"", ""website"": ""casaarrayan.cl"", ""page"": ""companies/santiago/casa-arrayán-hotel-boutique.html"", ""vertical"": ""Tourism""}"
