name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Antofagasta,ventas@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Terrado Suites Antofagasta,reservas1@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,contacto@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Aurora Cocina,info@auroracocina.cl,(55) 293 7123,Aurora Cocina,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,auroracocina.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""auroracocina.cl"", ""page"": ""companies/antofagasta/aurora-cocina.html"", ""vertical"": ""Restaurants""}"
Amares Bistro,reservas@amares.cl,55 922376 /,Amares Bistro,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,amares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""amares.cl"", ""page"": ""companies/antofagasta/amares-bistro.html"", ""vertical"": ""Restaurants""}"
Tio Jacinto,mario.mj@tiojacinto.cl,+56 55 222 8486,Tio Jacinto,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/antofagasta/tio-jacinto.html"", ""vertical"": ""Restaurants""}"
Don Pollo Don Lomo,info@fresheat.com,+56 9 3225 6091,Don Pollo Don Lomo,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,donpollodonlomo.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""donpollodonlomo.cl"", ""page"": ""companies/antofagasta/don-pollo-don-lomo.html"", ""vertical"": ""Restaurants""}"
Grupo Amares (Multi-venue),reservas@amares.cl,,Grupo Amares (Multi-venue),Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,grupoamares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""grupoamares.cl"", ""page"": ""companies/antofagasta/grupo-amares-(multi-venue).html"", ""vertical"": ""Restaurants""}"
Planeta Animal Centro Medico Vet,clinica@planetaanimal.cl,(055) 2844561,Planeta Animal Centro Medico Vet,Health & Medical — Antofagasta,lead,0,health,Health & Medical,antofagasta,planetaanimal.cl,"{""city"": ""antofagasta"", ""niche"": ""health"", ""website"": ""planetaanimal.cl"", ""page"": ""companies/antofagasta/planeta-animal-centro-medico-vet.html"", ""vertical"": ""Health""}"
Clinica Dental Sabioncello,administracion@clinicadentalantofagasta.cl,55 2 224192 /,Clinica Dental Sabioncello,Health & Medical — Antofagasta,lead,0,health,Health & Medical,antofagasta,clinicadentalantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""health"", ""website"": ""clinicadentalantofagasta.cl"", ""page"": ""companies/antofagasta/clinica-dental-sabioncello.html"", ""vertical"": ""Health""}"
1 Hotel Arica (Panamericana),reservas@hotelarica.cl,+56 58 223 6500,1 Hotel Arica (Panamericana),Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelarica.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelarica.cl"", ""page"": ""companies/arica/1-hotel-arica-(panamericana).html"", ""vertical"": ""Tourism""}"
2 Antay Hotel & Spa,arica@antayhoteles.cl,+56 58 223 6300,2 Antay Hotel & Spa,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,antayhoteles.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""antayhoteles.cl"", ""page"": ""companies/arica/2-antay-hotel-&-spa.html"", ""vertical"": ""Tourism""}"
3 Diego de Almagro Arica,reservas@dahoteles.com,600 262 0100,3 Diego de Almagro Arica,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,dahoteles.com,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""dahoteles.com"", ""page"": ""companies/arica/3-diego-de-almagro-arica.html"", ""vertical"": ""Tourism""}"
5 Hotel Savona,reservas@hotelsavona.cl,+56 58 223 1000,5 Hotel Savona,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelsavona.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelsavona.cl"", ""page"": ""companies/arica/5-hotel-savona.html"", ""vertical"": ""Tourism""}"
6 Hotel Gavina Express,reservas@gavinaexpress.cl,+56 58 258 3000,6 Hotel Gavina Express,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,gavina.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""gavina.cl"", ""page"": ""companies/arica/6-hotel-gavina-express.html"", ""vertical"": ""Tourism""}"
