name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Diego de Almagro Chillán,+56 42 2427100,+56 42 2427100,Hotel Diego de Almagro Chillán,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,dahoteles.com/es/da-chillan,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/es/da-chillan"", ""page"": ""companies/chillán/hotel-diego-de-almagro-chillán.html"", ""vertical"": ""Tourism""}"
Gran Hotel Isabel Riquelme,+56 42 2 434404,+56 42 2 434404,Gran Hotel Isabel Riquelme,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,hotelisabelriquelme.cl,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""hotelisabelriquelme.cl"", ""page"": ""companies/chillán/gran-hotel-isabel-riquelme.html"", ""vertical"": ""Tourism""}"
Hotel Las Terrazas Business,+56 42 2 437000,+56 42 2 437000,Hotel Las Terrazas Business,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,business.lasterrazas.cl — SELF-SIGNED SSL CERTIFICATE!,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""business.lasterrazas.cl — SELF-SIGNED SSL CERTIFICATE!"", ""page"": ""companies/chillán/hotel-las-terrazas-business.html"", ""vertical"": ""Tourism""}"
MDS Hotel Chillán,+56 42 225 5000,+56 42 225 5000,MDS Hotel Chillán,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,mdshoteles.com/en/chillan,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""mdshoteles.com/en/chillan"", ""page"": ""companies/chillán/mds-hotel-chillán.html"", ""vertical"": ""Tourism""}"
Hotel Paso Nevado,Libertad 219 (near train/bus station),,Hotel Paso Nevado,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,hotelpasonevado.cl — ECONNREFUSED — SERVER DEAD!,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""hotelpasonevado.cl — ECONNREFUSED — SERVER DEAD!"", ""page"": ""companies/chillán/hotel-paso-nevado.html"", ""vertical"": ""Tourism""}"
Entrerocas Lodge — Las Trancas,+56 9 99699560,+56 9 99699560,Entrerocas Lodge — Las Trancas,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,entrerocas.cl,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""entrerocas.cl"", ""page"": ""companies/chillán/entrerocas-lodge-—-las-trancas.html"", ""vertical"": ""Tourism""}"
Hotel Termas de Chillán,Camino a Termas de Chillán KM 80,,Hotel Termas de Chillán,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,termaschillan.cl — RETURNS 404 NOT FOUND!,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""termaschillan.cl — RETURNS 404 NOT FOUND!"", ""page"": ""companies/chillán/hotel-termas-de-chillán.html"", ""vertical"": ""Tourism""}"
Hotel Floresta,+56 42 2222253,+56 42 2222253,Hotel Floresta,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,NO WEBSITE,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""NO WEBSITE"", ""page"": ""companies/chillán/hotel-floresta.html"", ""vertical"": ""Tourism""}"
Hostal Canadá,+56 42 2234515 / +56 42 2329481,+56 42 2234515 / +56 42 2329481,Hostal Canadá,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,NO WEBSITE,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""NO WEBSITE"", ""page"": ""companies/chillán/hostal-canadá.html"", ""vertical"": ""Tourism""}"
Pewma Apart Hotel / Nogales House,"3-bedroom apartments, garden, BBQ, continental breakfast",,Pewma Apart Hotel / Nogales House,Tourism & Hospitality — Chillán,lead,0,tourism,Tourism & Hospitality,chillán,NO OWN WEBSITE — Booking.com only,"{""city"": ""chillán"", ""niche"": ""tourism"", ""website"": ""NO OWN WEBSITE — Booking.com only"", ""page"": ""companies/chillán/pewma-apart-hotel-/-nogales-house.html"", ""vertical"": ""Tourism""}"
