name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Le Petit Hotel Boutique,contacto@lepetithotel.cl,+56 9 8322 7880,Le Petit Hotel Boutique,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,lepetithotel.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""lepetithotel.cl"", ""page"": ""companies/concepción/le-petit-hotel-boutique.html"", ""vertical"": ""Tourism""}"
Hotel Alborada,reservas@hotelalborada.cl,,Hotel Alborada,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,hotelalborada.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""hotelalborada.cl"", ""page"": ""companies/concepción/hotel-alborada.html"", ""vertical"": ""Tourism""}"
Hotel Araucano,reservas@hotelaraucano.cl,+56 41 2740600,Hotel Araucano,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,hotelaraucano.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""hotelaraucano.cl"", ""page"": ""companies/concepción/hotel-araucano.html"", ""vertical"": ""Tourism""}"
Hotel Diego de Almagro Concepcion,recepcion-ccp1@dahoteles.com,+56 41 2403 600,Hotel Diego de Almagro Concepcion,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,dahoteles.com/da-concepcion,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/da-concepcion"", ""page"": ""companies/concepción/hotel-diego-de-almagro-concepcion.html"", ""vertical"": ""Tourism""}"
Hostal Buro,contacto@hostalburo.cl,+56 41 2133261 / +56 41 2950700,Hostal Buro,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,hostalburo.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""hostalburo.cl"", ""page"": ""companies/concepción/hostal-buro.html"", ""vertical"": ""Tourism""}"
Hostal Concepcion,Not found,+56 41 3166 106 / +56 9 6224 6601,Hostal Concepcion,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,hostalconcepcion.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""hostalconcepcion.cl"", ""page"": ""companies/concepción/hostal-concepcion.html"", ""vertical"": ""Tourism""}"
Hostal del Centro,reservas@hostaldelcentro.com,+56 9 4295 4004,Hostal del Centro,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,hostalenconcepcion.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""hostalenconcepcion.cl"", ""page"": ""companies/concepción/hostal-del-centro.html"", ""vertical"": ""Tourism""}"
Apart Hotel Uman,aparthoteluman@redhotelera.cl,+56 44 8909220 /,Apart Hotel Uman,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,aparthoteluman.redhotelera.cl,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""aparthoteluman.redhotelera.cl"", ""page"": ""companies/concepción/apart-hotel-uman.html"", ""vertical"": ""Tourism""}"
Hostal BB Concepcion,Not found,,Hostal BB Concepcion,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,hostalboutiqueconcepcion.com,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""hostalboutiqueconcepcion.com"", ""page"": ""companies/concepción/hostal-bb-concepcion.html"", ""vertical"": ""Tourism""}"
Hotel Terrasur,Not found,,Hotel Terrasur,Tourism & Hospitality — Concepción,lead,0,tourism,Tourism & Hospitality,concepción,No website,"{""city"": ""concepción"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/concepción/hotel-terrasur.html"", ""vertical"": ""Tourism""}"
