name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
1 Antay Casino Hotel,Not found,(52) 2234100,1 Antay Casino Hotel,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,casinoantay.com,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""casinoantay.com"", ""page"": ""companies/copiapó/1-antay-casino-hotel.html"", ""vertical"": ""Tourism""}"
2 Hotel Diego de Almagro Copiapó,centraldereservas@dahoteles.com,(52) 2207700,2 Hotel Diego de Almagro Copiapó,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,dahoteles.com/es/da-copiapo,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/es/da-copiapo"", ""page"": ""companies/copiapó/2-hotel-diego-de-almagro-copiapó.html"", ""vertical"": ""Tourism""}"
3 Hotel Chagall,reservas@chagall.cl,+56 52 2352900 / 2352902,3 Hotel Chagall,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,chagall.cl,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""chagall.cl"", ""page"": ""companies/copiapó/3-hotel-chagall.html"", ""vertical"": ""Tourism""}"
4 Hotel Atacama Suites,ventas1@hotelatacamasuites.cl,+56 2 2235 2550 / +56 9 4280 7788,4 Hotel Atacama Suites,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,hotelatacamasuites.cl,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""hotelatacamasuites.cl"", ""page"": ""companies/copiapó/4-hotel-atacama-suites.html"", ""vertical"": ""Tourism""}"
5 Hotel Boutique Molzano,info@molzano.com,+56 9 87500463,5 Hotel Boutique Molzano,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,molzano.com,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""molzano.com"", ""page"": ""companies/copiapó/5-hotel-boutique-molzano.html"", ""vertical"": ""Tourism""}"
6 Hotel Cumbres de Atacama,contacto@hotelcumbresdeatacama.cl,+56 52 2362890 / +56 9 37654554,6 Hotel Cumbres de Atacama,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,hotelcumbresdeatacama.cl,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""hotelcumbresdeatacama.cl"", ""page"": ""companies/copiapó/6-hotel-cumbres-de-atacama.html"", ""vertical"": ""Tourism""}"
7 ibis Copiapó,h8922-gl1@accor.com,(52) 2256200,7 ibis Copiapó,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,all.accor.com (chain),"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""all.accor.com (chain)"", ""page"": ""companies/copiapó/7-ibis-copiapó.html"", ""vertical"": ""Tourism""}"
8 Hotel San Luis Copiapó,gerencia@hotelsanluiscopiapo.cl,(56) 931920124,8 Hotel San Luis Copiapó,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,hotelsanluiscopiapo.cl,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""hotelsanluiscopiapo.cl"", ""page"": ""companies/copiapó/8-hotel-san-luis-copiapó.html"", ""vertical"": ""Tourism""}"
9 Hotel El Valle,omareisen@hotmail.com,+56 9 36720397,9 Hotel El Valle,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,elvallecopiapoatacama.cl,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""elvallecopiapoatacama.cl"", ""page"": ""companies/copiapó/9-hotel-el-valle.html"", ""vertical"": ""Tourism""}"
10 Apart Hotel Pedro de Valdivia,reservas@aparthotelpedrodevaldivia.cl,(56) 522220624 / 995419851,10 Apart Hotel Pedro de Valdivia,Tourism & Hospitality — Copiapó,lead,0,tourism,Tourism & Hospitality,copiapó,aparthotelpedrodevaldivia.cl,"{""city"": ""copiapó"", ""niche"": ""tourism"", ""website"": ""aparthotelpedrodevaldivia.cl"", ""page"": ""companies/copiapó/10-apart-hotel-pedro-de-valdivia.html"", ""vertical"": ""Tourism""}"
