name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Dreams de la Patagonia,reservas@mundodreams.com,+56 67 226 4709,Hotel Dreams de la Patagonia,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,mundodreams.com/hoteles/dreams-de-la-patagonia,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""mundodreams.com/hoteles/dreams-de-la-patagonia"", ""page"": ""companies/coyhaique/hotel-dreams-de-la-patagonia.html"", ""vertical"": ""Tourism""}"
Hotel Belisario Jara,reservas@belisariojara.cl,(67) 223 4150 / (67) 223 4155,Hotel Belisario Jara,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,belisariojara.cl — SELF-SIGNED SSL CERTIFICATE!,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""belisariojara.cl — SELF-SIGNED SSL CERTIFICATE!"", ""page"": ""companies/coyhaique/hotel-belisario-jara.html"", ""vertical"": ""Tourism""}"
El Reloj Hotel by DOT Boutique,reservas@elrelojhotel.com,+56 67 223 1108,El Reloj Hotel by DOT Boutique,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,elrelojhotel.com,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""elrelojhotel.com"", ""page"": ""companies/coyhaique/el-reloj-hotel-by-dot-boutique.html"", ""vertical"": ""Tourism""}"
Diego de Almagro Coyhaique,gerencia-gxq@dahoteles.com,,Diego de Almagro Coyhaique,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,dahoteles.com/es/da-coyhaique — SSL CERTIFICATE ERROR! 4TH CITY!,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/es/da-coyhaique — SSL CERTIFICATE ERROR! 4TH CITY!"", ""page"": ""companies/coyhaique/diego-de-almagro-coyhaique.html"", ""vertical"": ""Tourism""}"
Nómades Hotel Boutique,reservas@hotelnomades.cl,(67) 237 7777,Nómades Hotel Boutique,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,hotelnomades.cl (Wix),"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""hotelnomades.cl (Wix)"", ""page"": ""companies/coyhaique/nómades-hotel-boutique.html"", ""vertical"": ""Tourism""}"
Patagonia House,Not found,+56 67 22 114 88,Patagonia House,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,patagonia-house.com (Wix) + housepatagonia.cl,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""patagonia-house.com (Wix) + housepatagonia.cl"", ""page"": ""companies/coyhaique/patagonia-house.html"", ""vertical"": ""Tourism""}"
Hostal & Cabañas Español,reservas@hostalcoyhaique.cl,+56 9 8669 9365,Hostal & Cabañas Español,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,hostalcoyhaique.cl,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""hostalcoyhaique.cl"", ""page"": ""companies/coyhaique/hostal-&-cabañas-español.html"", ""vertical"": ""Tourism""}"
Hotelera San Rafael,csanrafael@patagoniachile.cl,+56 (67) 223 3733,Hotelera San Rafael,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,hotelerasanrafael.cl,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""hotelerasanrafael.cl"", ""page"": ""companies/coyhaique/hotelera-san-rafael.html"", ""vertical"": ""Tourism""}"
Cinco Rios Lodge,info@cincorioslodge.com,+56 9 8448 6974,Cinco Rios Lodge,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,cincorioslodge.com (Squarespace),"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""cincorioslodge.com (Squarespace)"", ""page"": ""companies/coyhaique/cinco-rios-lodge.html"", ""vertical"": ""Tourism""}"
Coyhaique River Lodge,info@coyhaiqueriverlodge.com,+569 4221 9688,Coyhaique River Lodge,Tourism & Hospitality — Coyhaique,lead,0,tourism,Tourism & Hospitality,coyhaique,coyhaiqueriverlodge.com,"{""city"": ""coyhaique"", ""niche"": ""tourism"", ""website"": ""coyhaiqueriverlodge.com"", ""page"": ""companies/coyhaique/coyhaique-river-lodge.html"", ""vertical"": ""Tourism""}"
