name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Gavina Costa Mar,reservas@gavina.cl,+56 57 239 3030,Hotel Gavina Costa Mar,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,gavina.cl,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""gavina.cl"", ""page"": ""companies/iquique/hotel-gavina-costa-mar.html"", ""vertical"": ""Tourism""}"
Terrado Hotels Iquique (4 properties),reservas1@terrado.cl,600 5820 800 (,Terrado Hotels Iquique (4 properties),Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,terrado.cl,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/iquique/terrado-hotels-iquique-(4-properties).html"", ""vertical"": ""Tourism""}"
Hotel Cavancha,cavanchareservas@gmail.com,+56 57 243 4800,Hotel Cavancha,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,hotelcavancha.com,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""hotelcavancha.com"", ""page"": ""companies/iquique/hotel-cavancha.html"", ""vertical"": ""Tourism""}"
Gran Cavancha Suite,Not found,,Gran Cavancha Suite,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,grancavanchasuite.cl,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""grancavanchasuite.cl"", ""page"": ""companies/iquique/gran-cavancha-suite.html"", ""vertical"": ""Tourism""}"
Spark Hoteles Iquique,Not found,+56 57 241 0000,Spark Hoteles Iquique,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,sparkhoteles.cl,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""sparkhoteles.cl"", ""page"": ""companies/iquique/spark-hoteles-iquique.html"", ""vertical"": ""Tourism""}"
Holiday Inn Express Iquique,Not found,,Holiday Inn Express Iquique,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,ihg.com,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""ihg.com"", ""page"": ""companies/iquique/holiday-inn-express-iquique.html"", ""vertical"": ""Tourism""}"
Hilton Garden Inn Iquique,Not found,+56 572 465 200,Hilton Garden Inn Iquique,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,No website,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/iquique/hilton-garden-inn-iquique.html"", ""vertical"": ""Tourism""}"
Hotel Terrasol,contacto@hotelterrasol.cl,+56 57 241 6075,Hotel Terrasol,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,hotelterrasol.cl,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""hotelterrasol.cl"", ""page"": ""companies/iquique/hotel-terrasol.html"", ""vertical"": ""Tourism""}"
Hotel Pekin,info@hotelpekin.cl,+56 57 254 3710,Hotel Pekin,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,No website,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/iquique/hotel-pekin.html"", ""vertical"": ""Tourism""}"
Hotel Baquedano Boulevard,hotelbaquedanoboulevard@gmail.com,+56 57 234 7577,Hotel Baquedano Boulevard,Tourism & Hospitality — Iquique,lead,0,tourism,Tourism & Hospitality,iquique,No website,"{""city"": ""iquique"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/iquique/hotel-baquedano-boulevard.html"", ""vertical"": ""Tourism""}"
La Mulata,contacto@lamulata.cl,(57) 247 3727,La Mulata,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,lamulata.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""lamulata.cl"", ""page"": ""companies/iquique/la-mulata.html"", ""vertical"": ""Restaurants""}"
Santorini Restobar,reservas@santorinirestobar.cl,+56 57 222 5392,Santorini Restobar,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,santorinirestobar.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""santorinirestobar.cl"", ""page"": ""companies/iquique/santorini-restobar.html"", ""vertical"": ""Restaurants""}"
Restaurante Neptuno,restaurante_neptuno@hotmail.com,+56 999 911 379,Restaurante Neptuno,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,restauranteneptuno.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""restauranteneptuno.cl"", ""page"": ""companies/iquique/restaurante-neptuno.html"", ""vertical"": ""Restaurants""}"
Casino Español de Iquique,Casino@casinoespanoliquique.cl,,Casino Español de Iquique,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,casinoespanoliquique.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""casinoespanoliquique.cl"", ""page"": ""companies/iquique/casino-español-de-iquique.html"", ""vertical"": ""Restaurants""}"
Chifa Nan King,Not found,+56 57 242 0434,Chifa Nan King,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,nanking.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""nanking.cl"", ""page"": ""companies/iquique/chifa-nan-king.html"", ""vertical"": ""Restaurants""}"
El Wagon,Not found,+56 57 231 2099 / 231 2101,El Wagon,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,No website,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/iquique/el-wagon.html"", ""vertical"": ""Restaurants""}"
Azotea Baquedano Restobar,Not found,+569 7446 7486,Azotea Baquedano Restobar,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,azoteabaquedano.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""azoteabaquedano.cl"", ""page"": ""companies/iquique/azotea-baquedano-restobar.html"", ""vertical"": ""Restaurants""}"
El Tercer Ojito,Not found,+56 57 242 6517,El Tercer Ojito,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,eltercerojito.cl,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""eltercerojito.cl"", ""page"": ""companies/iquique/el-tercer-ojito.html"", ""vertical"": ""Restaurants""}"
Florencia Gastro Bar,Not found,+56 978 825 203,Florencia Gastro Bar,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,No website,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/iquique/florencia-gastro-bar.html"", ""vertical"": ""Restaurants""}"
El Rincón de Cachuperto,Not found,,El Rincón de Cachuperto,Restaurants & Gastronomy — Iquique,lead,0,restaurants,Restaurants & Gastronomy,iquique,No website,"{""city"": ""iquique"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/iquique/el-rincón-de-cachuperto.html"", ""vertical"": ""Restaurants""}"
Dr. Vet Hospital Veterinario,Not found,+56 572 45 00 00 / +56 572 72 77 77,Dr. Vet Hospital Veterinario,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,drvet.cl,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""drvet.cl"", ""page"": ""companies/iquique/dr.-vet-hospital-veterinario.html"", ""vertical"": ""Health""}"
Clínica Veterinaria El Águila,contacto@veterinariaelaguila.cl,+56 57 245 0505,Clínica Veterinaria El Águila,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,iquiquevet.cl,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""iquiquevet.cl"", ""page"": ""companies/iquique/clínica-veterinaria-el-águila.html"", ""vertical"": ""Health""}"
Hospital Veterinario ZooMundo,info@zoomundo.cl,+56 9 3241 6474,Hospital Veterinario ZooMundo,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,zoomundo.cl,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""zoomundo.cl"", ""page"": ""companies/iquique/hospital-veterinario-zoomundo.html"", ""vertical"": ""Health""}"
Veterinaria D'alma,veterinariadalma@gmail.com,+56 9 2062 0441,Veterinaria D'alma,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,No website,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""No website"", ""page"": ""companies/iquique/veterinaria-d'alma.html"", ""vertical"": ""Health""}"
Veterinaria Tarapacá,contacto@veterinariatarapa.cl,+56 9 5322 3402,Veterinaria Tarapacá,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,veterinariatarapaca.cl,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""veterinariatarapaca.cl"", ""page"": ""companies/iquique/veterinaria-tarapacá.html"", ""vertical"": ""Health""}"
Clínica Dental Santa Lucía,gerencia@clinicasantalucia.cl,+56 9 7374 1761 / +56 9 4478 8718,Clínica Dental Santa Lucía,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,clinicasantalucia.cl,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""clinicasantalucia.cl"", ""page"": ""companies/iquique/clínica-dental-santa-lucía.html"", ""vertical"": ""Health""}"
Dental Rivadavia,rivadavia.clinicadental@gmail.com,+56 9 5608 0119,Dental Rivadavia,Health & Medical — Iquique,lead,0,health,Health & Medical,iquique,dentalrivadavia.cl,"{""city"": ""iquique"", ""niche"": ""health"", ""website"": ""dentalrivadavia.cl"", ""page"": ""companies/iquique/dental-rivadavia.html"", ""vertical"": ""Health""}"
