name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Cabañas Rey Pacific,reypacific@gmail.com,+56 9 9444 5328,Cabañas Rey Pacific,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,reypacific.cl,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""reypacific.cl"", ""page"": ""companies/la-serena/cabañas-rey-pacific.html"", ""vertical"": ""Tourism""}"
Cabañas Florencia,reservas@cabanasflorencia.cl,+56 9 8839 4660 / +56 9 8284 1803,Cabañas Florencia,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,cabanasflorencia.cl,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""cabanasflorencia.cl"", ""page"": ""companies/la-serena/cabañas-florencia.html"", ""vertical"": ""Tourism""}"
Apart Hotel & Cabañas Vegasur,contacto.vegasur@gmail.com,+56 9 6517 1643 / +56 9 3706 4611,Apart Hotel & Cabañas Vegasur,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,hoteleravegasur.cl,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""hoteleravegasur.cl"", ""page"": ""companies/la-serena/apart-hotel-&-cabañas-vegasur.html"", ""vertical"": ""Tourism""}"
Apart Hotel Gran Pacífico,info@granpacifico.cl,+56 9 8920 3517,Apart Hotel Gran Pacífico,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,granpacifico.cl,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""granpacifico.cl"", ""page"": ""companies/la-serena/apart-hotel-gran-pacífico.html"", ""vertical"": ""Tourism""}"
Hotel & Cabañas Mar Serena,contacto@marserena.cl,+56 51 222 5559 / WhatsApp: +56 9 7378 4731,Hotel & Cabañas Mar Serena,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,marserena.cl,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""marserena.cl"", ""page"": ""companies/la-serena/hotel-&-cabañas-mar-serena.html"", ""vertical"": ""Tourism""}"
Cabañas de la Costa,contacto@delacostalaserena.cl,+56 9 8516 3124,Cabañas de la Costa,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,delacostacabanas.cl,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""delacostacabanas.cl"", ""page"": ""companies/la-serena/cabañas-de-la-costa.html"", ""vertical"": ""Tourism""}"
Cabañas Reflejos del Mar,reflejodelmar2016@gmail.com,Not listed,Cabañas Reflejos del Mar,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/la-serena/cabañas-reflejos-del-mar.html"", ""vertical"": ""Tourism""}"
Cabañas Casa de Campo,casadecamporuta5@gmail.com,Not listed,Cabañas Casa de Campo,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/la-serena/cabañas-casa-de-campo.html"", ""vertical"": ""Tourism""}"
Hostal La Serena,hostallaserena@gmail.com,+56 9 4791 1313,Hostal La Serena,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/la-serena/hostal-la-serena.html"", ""vertical"": ""Tourism""}"
Cabañas Stella Mar,info@devacas.cl,+56 51 252 0833 / WhatsApp: +56 9 9699 5897,Cabañas Stella Mar,Tourism & Hospitality — La Serena,lead,0,tourism,Tourism & Hospitality,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/la-serena/cabañas-stella-mar.html"", ""vertical"": ""Tourism""}"
Restobar La Rocca,Publarocca@gmail.com,Not listed,Restobar La Rocca,Restaurants & Gastronomy — La Serena,lead,0,restaurants,Restaurants & Gastronomy,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/la-serena/restobar-la-rocca.html"", ""vertical"": ""Restaurants""}"
Templo Restobar,Templolaserena@gmail.com,+56 9 4145 0311,Templo Restobar,Restaurants & Gastronomy — La Serena,lead,0,restaurants,Restaurants & Gastronomy,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/la-serena/templo-restobar.html"", ""vertical"": ""Restaurants""}"
Santorini Restaurant,santorinilaserena@gmail.com,+56 9 6685 8095,Santorini Restaurant,Restaurants & Gastronomy — La Serena,lead,0,restaurants,Restaurants & Gastronomy,la-serena,No website,"{""city"": ""la-serena"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/la-serena/santorini-restaurant.html"", ""vertical"": ""Restaurants""}"
