name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Sonesta Hotel Osorno,+56 64 255 5000,+56 64 255 5000,Sonesta Hotel Osorno,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,sonestaosorno.com — 403 FORBIDDEN,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""sonestaosorno.com — 403 FORBIDDEN"", ""page"": ""companies/osorno/sonesta-hotel-osorno.html"", ""vertical"": ""Tourism""}"
Hotel Diego de Almagro Osorno,"Alcalde Fuschlocher 1236, Osorno",,Hotel Diego de Almagro Osorno,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,dahoteles.com/es/da-osorno — SSL CERTIFICATE ERROR,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/es/da-osorno — SSL CERTIFICATE ERROR"", ""page"": ""companies/osorno/hotel-diego-de-almagro-osorno.html"", ""vertical"": ""Tourism""}"
Hotel Waeger,(064) 2233721 / 09-92079452,(064) 2233721 / 09-92079452,Hotel Waeger,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,hotelwaeger.cl,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""hotelwaeger.cl"", ""page"": ""companies/osorno/hotel-waeger.html"", ""vertical"": ""Tourism""}"
Hotel Lagos del Sur,(56-64) 2245222 / 2243244,(56-64) 2245222 / 2243244,Hotel Lagos del Sur,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,hotelagosdelsur.cl — ECONNREFUSED DEAD!,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""hotelagosdelsur.cl — ECONNREFUSED DEAD!"", ""page"": ""companies/osorno/hotel-lagos-del-sur.html"", ""vertical"": ""Tourism""}"
Hotel Bilbao Osorno,+56642264444,+56642264444,Hotel Bilbao Osorno,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,hotelbilbao.cl — ECONNREFUSED DEAD!,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""hotelbilbao.cl — ECONNREFUSED DEAD!"", ""page"": ""companies/osorno/hotel-bilbao-osorno.html"", ""vertical"": ""Tourism""}"
Apart Hotel Blumenau,+569 63049892,+569 63049892,Apart Hotel Blumenau,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,blumenau.cl,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""blumenau.cl"", ""page"": ""companies/osorno/apart-hotel-blumenau.html"", ""vertical"": ""Tourism""}"
Nomada 870 Work Hotel,+56 9 5749 3269,+56 9 5749 3269,Nomada 870 Work Hotel,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,nomada870.com,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""nomada870.com"", ""page"": ""companies/osorno/nomada-870-work-hotel.html"", ""vertical"": ""Tourism""}"
Cabañas Mahuida (Puyehue),"Km 55 Ruta 215, Puyehue",,Cabañas Mahuida (Puyehue),Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,NO OWN WEBSITE — listed on directories only,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""NO OWN WEBSITE — listed on directories only"", ""page"": ""companies/osorno/cabañas-mahuida-(puyehue).html"", ""vertical"": ""Tourism""}"
Turismo Rural Puerto Chalupa,Rural tourism / family-run lodging,,Turismo Rural Puerto Chalupa,Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,NO OWN WEBSITE — listed on directories only,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""NO OWN WEBSITE — listed on directories only"", ""page"": ""companies/osorno/turismo-rural-puerto-chalupa.html"", ""vertical"": ""Tourism""}"
Hostería Entre Lagos (Puyehue),"Entre Lagos, Puyehue",,Hostería Entre Lagos (Puyehue),Tourism & Hospitality — Osorno,lead,0,tourism,Tourism & Hospitality,osorno,NO OWN WEBSITE — listed on directories only,"{""city"": ""osorno"", ""niche"": ""tourism"", ""website"": ""NO OWN WEBSITE — listed on directories only"", ""page"": ""companies/osorno/hostería-entre-lagos-(puyehue).html"", ""vertical"": ""Tourism""}"
Ruta del Asador (#1 TripAdvisor),(64) 223 3040 / +56 9 75684847,(64) 223 3040 / +56 9 75684847,Ruta del Asador (#1 TripAdvisor),Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,rutadelasador.cl,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""rutadelasador.cl"", ""page"": ""companies/osorno/ruta-del-asador-(#1-tripadvisor).html"", ""vertical"": ""Restaurants""}"
El Galpón Grill Restaurant (#2 TripAdvisor),"Lord Cochrane 816 (Hotel Waeger), Osorno",,El Galpón Grill Restaurant (#2 TripAdvisor),Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,NO OWN WEBSITE — Hotel Waeger restaurant,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""NO OWN WEBSITE — Hotel Waeger restaurant"", ""page"": ""companies/osorno/el-galpón-grill-restaurant-(#2-tripadvisor).html"", ""vertical"": ""Restaurants""}"
Cook's Restorant (#3 TripAdvisor),+56 64 2555000,+56 64 2555000,Cook's Restorant (#3 TripAdvisor),Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,NO OWN WEBSITE,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""NO OWN WEBSITE"", ""page"": ""companies/osorno/cook's-restorant-(#3-tripadvisor).html"", ""vertical"": ""Restaurants""}"
"Cervecería Märzen ""Donde Armin""",+56 9 7995 7991 (WhatsApp),+56 9 7995 7991 (WhatsApp),"Cervecería Märzen ""Donde Armin""",Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,cerveceriamarzen.cl — GOOGLE SITES!,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""cerveceriamarzen.cl — GOOGLE SITES!"", ""page"": ""companies/osorno/cervecería-märzen-\""donde-armin\"".html"", ""vertical"": ""Restaurants""}"
Gustoso (Italian/Pizza),Not found,,Gustoso (Italian/Pizza),Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,NO OWN WEBSITE,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""NO OWN WEBSITE"", ""page"": ""companies/osorno/gustoso-(italian/pizza).html"", ""vertical"": ""Restaurants""}"
Del Piero Restaurante,+56 64 2256767,+56 64 2256767,Del Piero Restaurante,Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,menu.fu.do/delpiero — THIRD-PARTY MENU ONLY,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""menu.fu.do/delpiero — THIRD-PARTY MENU ONLY"", ""page"": ""companies/osorno/del-piero-restaurante.html"", ""vertical"": ""Restaurants""}"
Gallardía Brew Pub,+56 64 222 1011,+56 64 222 1011,Gallardía Brew Pub,Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,NO OWN WEBSITE,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""NO OWN WEBSITE"", ""page"": ""companies/osorno/gallardía-brew-pub.html"", ""vertical"": ""Restaurants""}"
Panca Sabor Peruano,+56 64 223 2924,+56 64 223 2924,Panca Sabor Peruano,Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,nuevo.panca.cl,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""nuevo.panca.cl"", ""page"": ""companies/osorno/panca-sabor-peruano.html"", ""vertical"": ""Restaurants""}"
Rincón Wufehr (German Crudos),Crudos + tártaros — best in region,,Rincón Wufehr (German Crudos),Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,NO OWN WEBSITE,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""NO OWN WEBSITE"", ""page"": ""companies/osorno/rincón-wufehr-(german-crudos).html"", ""vertical"": ""Restaurants""}"
"Gus, Cocina de Mercado",Contemporary/Healthy — farm-to-table,,"Gus, Cocina de Mercado",Restaurants & Gastronomy — Osorno,lead,0,restaurants,Restaurants & Gastronomy,osorno,NO OWN WEBSITE,"{""city"": ""osorno"", ""niche"": ""restaurants"", ""website"": ""NO OWN WEBSITE"", ""page"": ""companies/osorno/gus,-cocina-de-mercado.html"", ""vertical"": ""Restaurants""}"
Clínica Dental Uno Salud Osorno,+56 600 707 1010 (national),+56 600 707 1010 (national),Clínica Dental Uno Salud Osorno,Health & Medical — Osorno,lead,0,health,Health & Medical,osorno,unosalud.cl/clinicas/osorno/,"{""city"": ""osorno"", ""niche"": ""health"", ""website"": ""unosalud.cl/clinicas/osorno/"", ""page"": ""companies/osorno/clínica-dental-uno-salud-osorno.html"", ""vertical"": ""Health""}"
Clínica Dental Art,+56 942 090 120 / +56 642 312384 + 3 more,+56 942 090 120 / +56 642 312384 + 3 more,Clínica Dental Art,Health & Medical — Osorno,lead,0,health,Health & Medical,osorno,clinicadentalart.cl,"{""city"": ""osorno"", ""niche"": ""health"", ""website"": ""clinicadentalart.cl"", ""page"": ""companies/osorno/clínica-dental-art.html"", ""vertical"": ""Health""}"
