name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
1 Hotel Gran Pacífico,reserva@hotelgranpacifico.cl,+56 65 2482 100,1 Hotel Gran Pacífico,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,hotelgranpacifico.cl,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""hotelgranpacifico.cl"", ""page"": ""companies/puerto-montt/1-hotel-gran-pacífico.html"", ""vertical"": ""Tourism""}"
2 Hotel Don Luis,reservas@hdl.cl,+56 65 2200 300,2 Hotel Don Luis,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,hoteldonluis.cl,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""hoteldonluis.cl"", ""page"": ""companies/puerto-montt/2-hotel-don-luis.html"", ""vertical"": ""Tourism""}"
3 Novotel Puerto Montt,mauren.avalos@accor.com,+56 65 2226 200,3 Novotel Puerto Montt,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,accor.com (chain),"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""accor.com (chain)"", ""page"": ""companies/puerto-montt/3-novotel-puerto-montt.html"", ""vertical"": ""Tourism""}"
4 Holiday Inn Express Puerto Montt,front.pmc@talbot.cl,+56 65 256 6000,4 Holiday Inn Express Puerto Montt,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,No website,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/puerto-montt/4-holiday-inn-express-puerto-montt.html"", ""vertical"": ""Tourism""}"
5 Courtyard by Marriott Puerto Montt,Not found,+56 65 2331 111,5 Courtyard by Marriott Puerto Montt,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,marriott.com (chain),"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""marriott.com (chain)"", ""page"": ""companies/puerto-montt/5-courtyard-by-marriott-puerto-montt.html"", ""vertical"": ""Tourism""}"
6 Diego de Almagro Puerto Montt,centraldereservas@dahoteles.com,+56 65 232 0200,6 Diego de Almagro Puerto Montt,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,dahoteles.com,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""dahoteles.com"", ""page"": ""companies/puerto-montt/6-diego-de-almagro-puerto-montt.html"", ""vertical"": ""Tourism""}"
7 Abba Presidente Suites,puertomontt@abbahoteles.com,+56 65 225 1666,7 Abba Presidente Suites,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,abbahoteles.com,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""abbahoteles.com"", ""page"": ""companies/puerto-montt/7-abba-presidente-suites.html"", ""vertical"": ""Tourism""}"
8 Hotel Seminario,[email protected],+56 65 2263 946,8 Hotel Seminario,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,hotelseminario.cl,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""hotelseminario.cl"", ""page"": ""companies/puerto-montt/8-hotel-seminario.html"", ""vertical"": ""Tourism""}"
9 Hostal Pacífico,info@hostalpacifico.cl,+56 65 2256 229,9 Hostal Pacífico,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,hostalpacifico.cl,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""hostalpacifico.cl"", ""page"": ""companies/puerto-montt/9-hostal-pacífico.html"", ""vertical"": ""Tourism""}"
10 Casa Perla Hostel,Not found,+56 65 2262 104,10 Casa Perla Hostel,Tourism & Hospitality — Puerto Montt,lead,0,tourism,Tourism & Hospitality,puerto-montt,casaperla.com,"{""city"": ""puerto-montt"", ""niche"": ""tourism"", ""website"": ""casaperla.com"", ""page"": ""companies/puerto-montt/10-casa-perla-hostel.html"", ""vertical"": ""Tourism""}"
1 Restaurant Club de Yates,respinoza@clubdeyates.cl,+56 65 225 0008 / +56 9 6795 8364,1 Restaurant Club de Yates,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,clubdeyates.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""clubdeyates.cl"", ""page"": ""companies/puerto-montt/1-restaurant-club-de-yates.html"", ""vertical"": ""Restaurants""}"
2 Tablón del Ancla,hola@tablondelancla.cl,600 401 0022 / +56 9 7477 2770,2 Tablón del Ancla,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,tablondelancla.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""tablondelancla.cl"", ""page"": ""companies/puerto-montt/2-tablón-del-ancla.html"", ""vertical"": ""Restaurants""}"
3 Club Alemán Puerto Montt,contacto@clubalemanpuertomontt.cl,+56 65 229 7000,3 Club Alemán Puerto Montt,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,clubalemanpuertomontt.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""clubalemanpuertomontt.cl"", ""page"": ""companies/puerto-montt/3-club-alemán-puerto-montt.html"", ""vertical"": ""Restaurants""}"
4 Pa' Mar Adentro,reservas@pamaradentro.cl,+56 65 226 4060 / +56 9 5476 4802,4 Pa' Mar Adentro,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,pamaradentro.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""pamaradentro.cl"", ""page"": ""companies/puerto-montt/4-pa'-mar-adentro.html"", ""vertical"": ""Restaurants""}"
5 El Fogón de Pepe,fogondepepe@gmail.com,+56 65 239 6386 / +56 9 9482 1759,5 El Fogón de Pepe,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,No website,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/puerto-montt/5-el-fogón-de-pepe.html"", ""vertical"": ""Restaurants""}"
6 Chilotito Marino,chilotitomarino@gmail.com,+56 65 227 7585,6 Chilotito Marino,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,chilotitomarino.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""chilotitomarino.cl"", ""page"": ""companies/puerto-montt/6-chilotito-marino.html"", ""vertical"": ""Restaurants""}"
7 Restaurante Viento Sur,contactos@restaurantevientosur.cl,+56 9 9345 7171 / +56 65 226 4189,7 Restaurante Viento Sur,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,restaurantevientosur.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""restaurantevientosur.cl"", ""page"": ""companies/puerto-montt/7-restaurante-viento-sur.html"", ""vertical"": ""Restaurants""}"
8 La Nieta del Sur,Not found,Not found,8 La Nieta del Sur,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,lanietadelsur.cl,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""lanietadelsur.cl"", ""page"": ""companies/puerto-montt/8-la-nieta-del-sur.html"", ""vertical"": ""Restaurants""}"
9 Kyodai Sushi Puerta Sur,Not found,+56 9 3668 8547,9 Kyodai Sushi Puerta Sur,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,kyodai-sushi-puerta-sur.ueniweb.com,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""kyodai-sushi-puerta-sur.ueniweb.com"", ""page"": ""companies/puerto-montt/9-kyodai-sushi-puerta-sur.html"", ""vertical"": ""Restaurants""}"
10 Restaurant Aurora,Not found,Not found,10 Restaurant Aurora,Restaurants & Gastronomy — Puerto Montt,lead,0,restaurants,Restaurants & Gastronomy,puerto-montt,No website,"{""city"": ""puerto-montt"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/puerto-montt/10-restaurant-aurora.html"", ""vertical"": ""Restaurants""}"
1 Veterinaria Petrohué,Not on website,Not on website,1 Veterinaria Petrohué,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,veterinariapetrohue.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""veterinariapetrohue.cl"", ""page"": ""companies/puerto-montt/1-veterinaria-petrohué.html"", ""vertical"": ""Health""}"
2 Hospital Clínico Vet del Lago,hcvdellago@gmail.com,+56 65 227 6969 / +56 9 9399 9946,2 Hospital Clínico Vet del Lago,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,hcvdellago.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""hcvdellago.cl"", ""page"": ""companies/puerto-montt/2-hospital-clínico-vet-del-lago.html"", ""vertical"": ""Health""}"
3 Clínica Veterinaria Austral,contacto@clinicaaustral.cl,+56 65 2430 010 / Emergency: +56 9 9444 6627,3 Clínica Veterinaria Austral,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,clinicaaustral.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""clinicaaustral.cl"", ""page"": ""companies/puerto-montt/3-clínica-veterinaria-austral.html"", ""vertical"": ""Health""}"
4 Posta Veterinaria PM,postaveterinaria.pm@gmail.com,+56 65 226 0270 / +56 9 8120 3101,4 Posta Veterinaria PM,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,postaveterinariapm.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""postaveterinariapm.cl"", ""page"": ""companies/puerto-montt/4-posta-veterinaria-pm.html"", ""vertical"": ""Health""}"
5 Clínica Dental Everest,contacto@clinicaeverest.cl,+56 9 4473 3637,5 Clínica Dental Everest,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,clinicaeverest.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""clinicaeverest.cl"", ""page"": ""companies/puerto-montt/5-clínica-dental-everest.html"", ""vertical"": ""Health""}"
6 Clínica Dental Estetic,contacto@somosdentalestetic.cl,+56 9 8967 6221 / +56 65 223 9200,6 Clínica Dental Estetic,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,somosdentalestetic.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""somosdentalestetic.cl"", ""page"": ""companies/puerto-montt/6-clínica-dental-estetic.html"", ""vertical"": ""Health""}"
7 Venedent Clínica Dental,contacto@venedent.cl,+56 9 7296 1208 / +56 65 221 3956,7 Venedent Clínica Dental,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,venedent.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""venedent.cl"", ""page"": ""companies/puerto-montt/7-venedent-clínica-dental.html"", ""vertical"": ""Health""}"
8 Clínica Dental Puerto Montt,Not confirmed,Not confirmed,8 Clínica Dental Puerto Montt,Health & Medical — Puerto Montt,lead,0,health,Health & Medical,puerto-montt,clinicadentalpuertomontt.cl,"{""city"": ""puerto-montt"", ""niche"": ""health"", ""website"": ""clinicadentalpuertomontt.cl"", ""page"": ""companies/puerto-montt/8-clínica-dental-puerto-montt.html"", ""vertical"": ""Health""}"
