name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Cabo de Hornos,Reservas@hotelesaustralis.com,56-61-2715000,Hotel Cabo de Hornos,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,hotelcabodehornos.com,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""hotelcabodehornos.com"", ""page"": ""companies/punta-arenas/hotel-cabo-de-hornos.html"", ""vertical"": ""Tourism""}"
Dreams del Estrecho,servicioalcliente@dreams.cl,+56927230102,Dreams del Estrecho,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,punta-arenas.dreams.cl,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""punta-arenas.dreams.cl"", ""page"": ""companies/punta-arenas/dreams-del-estrecho.html"", ""vertical"": ""Tourism""}"
La Yegua Loca Hotel Boutique,info@yegualoca.com,+56 2 2224 3561,La Yegua Loca Hotel Boutique,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,yegualoca.com,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""yegualoca.com"", ""page"": ""companies/punta-arenas/la-yegua-loca-hotel-boutique.html"", ""vertical"": ""Tourism""}"
Hotel Jose Nogueira,Not found,+56 9 8478 5471,Hotel Jose Nogueira,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,hotelnogueira.com,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""hotelnogueira.com"", ""page"": ""companies/punta-arenas/hotel-jose-nogueira.html"", ""vertical"": ""Tourism""}"
Ilaia Hotel,reservas@ilaiapatagonia.com,56,Ilaia Hotel,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,ilaia.cl,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""ilaia.cl"", ""page"": ""companies/punta-arenas/ilaia-hotel.html"", ""vertical"": ""Tourism""}"
Hotel Almasur Punta Arenas,Not found,+56 61 229 5000,Hotel Almasur Punta Arenas,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,hotelalmasur.cl,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""hotelalmasur.cl"", ""page"": ""companies/punta-arenas/hotel-almasur-punta-arenas.html"", ""vertical"": ""Tourism""}"
Diego de Almagro Punta Arenas,centraldereservas@dahoteles.com,,Diego de Almagro Punta Arenas,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,dahoteles.com,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""dahoteles.com"", ""page"": ""companies/punta-arenas/diego-de-almagro-punta-arenas.html"", ""vertical"": ""Tourism""}"
Innata Patagonia Hostal B&B,info@innatapatagonia.com,+56962794254,Innata Patagonia Hostal B&B,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,innatapatagonia.com,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""innatapatagonia.com"", ""page"": ""companies/punta-arenas/innata-patagonia-hostal-b&b.html"", ""vertical"": ""Tourism""}"
La Casa Escondida,elcamilovan@lacasaescondida.cl,+56982863118,La Casa Escondida,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,lacasaescondida.cl,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""lacasaescondida.cl"", ""page"": ""companies/punta-arenas/la-casa-escondida.html"", ""vertical"": ""Tourism""}"
Hostal Labarca,reservas@hostallabarca.cl,+56 9 9564 5769,Hostal Labarca,Tourism & Hospitality — Punta Arenas,lead,0,tourism,Tourism & Hospitality,punta-arenas,hostallabarca.cl,"{""city"": ""punta-arenas"", ""niche"": ""tourism"", ""website"": ""hostallabarca.cl"", ""page"": ""companies/punta-arenas/hostal-labarca.html"", ""vertical"": ""Tourism""}"
Kiosko Roca Punta Arenas,paula@kioskoroca.cl,,Kiosko Roca Punta Arenas,Restaurants & Gastronomy — Punta Arenas,lead,0,restaurants,Restaurants & Gastronomy,punta-arenas,kioskoroca.cl,"{""city"": ""punta-arenas"", ""niche"": ""restaurants"", ""website"": ""kioskoroca.cl"", ""page"": ""companies/punta-arenas/kiosko-roca-punta-arenas.html"", ""vertical"": ""Restaurants""}"
Mesita Grande - Punta Arenas,Not found,+56 9 5378 8200 (,Mesita Grande - Punta Arenas,Restaurants & Gastronomy — Punta Arenas,lead,0,restaurants,Restaurants & Gastronomy,punta-arenas,mesitagrande.cl,"{""city"": ""punta-arenas"", ""niche"": ""restaurants"", ""website"": ""mesitagrande.cl"", ""page"": ""companies/punta-arenas/mesita-grande---punta-arenas.html"", ""vertical"": ""Restaurants""}"
La Marmita,marmitamaga@gmail.com,+56 61 222 2056,La Marmita,Restaurants & Gastronomy — Punta Arenas,lead,0,restaurants,Restaurants & Gastronomy,punta-arenas,marmitamaga.cl,"{""city"": ""punta-arenas"", ""niche"": ""restaurants"", ""website"": ""marmitamaga.cl"", ""page"": ""companies/punta-arenas/la-marmita.html"", ""vertical"": ""Restaurants""}"
Taberna Club de la Union,contacto@tabernabar.cl,+569 59746467,Taberna Club de la Union,Restaurants & Gastronomy — Punta Arenas,lead,0,restaurants,Restaurants & Gastronomy,punta-arenas,tabernabar.cl,"{""city"": ""punta-arenas"", ""niche"": ""restaurants"", ""website"": ""tabernabar.cl"", ""page"": ""companies/punta-arenas/taberna-club-de-la-union.html"", ""vertical"": ""Restaurants""}"
