name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Mar Andino,reservas@hotelmarandino.cl,+56 72 264 5400,Hotel Mar Andino,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,hotelmarandino.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""hotelmarandino.cl"", ""page"": ""companies/rancagua/hotel-mar-andino.html"", ""vertical"": ""Tourism""}"
Hotel Terrado Rancagua,reservas1@terrado.cl,600 5820 800 (,Hotel Terrado Rancagua,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,terrado.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/rancagua/hotel-terrado-rancagua.html"", ""vertical"": ""Tourism""}"
Hotel Diego de Almagro Rancagua,centraldereservas@dahoteles.com,(51) 2427100,Hotel Diego de Almagro Rancagua,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,dahoteles.com,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""dahoteles.com"", ""page"": ""companies/rancagua/hotel-diego-de-almagro-rancagua.html"", ""vertical"": ""Tourism""}"
Campos Apart Hotel,administracion@camposaparthotel.cl,+56 9 3443 7782,Campos Apart Hotel,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,camposaparthotel.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""camposaparthotel.cl"", ""page"": ""companies/rancagua/campos-apart-hotel.html"", ""vertical"": ""Tourism""}"
Hostal Rancagua Cordillera,hostalrc@gmail.com,,Hostal Rancagua Cordillera,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,hostalrancaguacordillera.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""hostalrancaguacordillera.cl"", ""page"": ""companies/rancagua/hostal-rancagua-cordillera.html"", ""vertical"": ""Tourism""}"
Hotel Turismo Santiago,Not found,+56 72 223 0860,Hotel Turismo Santiago,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,hotelsantiago.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""hotelsantiago.cl"", ""page"": ""companies/rancagua/hotel-turismo-santiago.html"", ""vertical"": ""Tourism""}"
Hostal La Terraza,Not found,+56 9 7541 1769,Hostal La Terraza,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,hostallaterraza.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""hostallaterraza.cl"", ""page"": ""companies/rancagua/hostal-la-terraza.html"", ""vertical"": ""Tourism""}"
Hotel Piedra Verde,contacto@hotelpiedraverde.cl,+56 72 231 2000,Hotel Piedra Verde,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,hotelpiedraverde.cl,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""hotelpiedraverde.cl"", ""page"": ""companies/rancagua/hotel-piedra-verde.html"", ""vertical"": ""Tourism""}"
De Triana Apart Hotel,Not found,,De Triana Apart Hotel,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,No website,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/rancagua/de-triana-apart-hotel.html"", ""vertical"": ""Tourism""}"
Hospedaje Rancagua,Not found,+56 9 7859 8575,Hospedaje Rancagua,Tourism & Hospitality — Rancagua,lead,0,tourism,Tourism & Hospitality,rancagua,No website,"{""city"": ""rancagua"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/rancagua/hospedaje-rancagua.html"", ""vertical"": ""Tourism""}"
