name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Casino Talca,(71) 252 7000,(71) 252 7000,Hotel Casino Talca,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,casinotalca.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""casinotalca.cl"", ""page"": ""companies/talca/hotel-casino-talca.html"", ""vertical"": ""Tourism""}"
Hotel Marcos Gamero,712 22 33 88,712 22 33 88,Hotel Marcos Gamero,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,hotelmarcosgamero.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""hotelmarcosgamero.cl"", ""page"": ""companies/talca/hotel-marcos-gamero.html"", ""vertical"": ""Tourism""}"
EcoHotel Talca,+56 71 234 2000,+56 71 234 2000,EcoHotel Talca,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,ecohotel.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""ecohotel.cl"", ""page"": ""companies/talca/ecohotel-talca.html"", ""vertical"": ""Tourism""}"
Hotel Capelli,71 298 0973 / +569 7436 1642,71 298 0973 / +569 7436 1642,Hotel Capelli,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,hotelcapelli.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""hotelcapelli.cl"", ""page"": ""companies/talca/hotel-capelli.html"", ""vertical"": ""Tourism""}"
Hotel Diego de Almagro Talca Express,178 rooms,,Hotel Diego de Almagro Talca Express,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,dahoteles.com/es/da-talca-express,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/es/da-talca-express"", ""page"": ""companies/talca/hotel-diego-de-almagro-talca-express.html"", ""vertical"": ""Tourism""}"
Hotel Plaza Cienfuegos,+56 940 054 282 / (71) 222 4000,+56 940 054 282 / (71) 222 4000,Hotel Plaza Cienfuegos,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,hotelplazacienfuegos.cl (unverified),"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""hotelplazacienfuegos.cl (unverified)"", ""page"": ""companies/talca/hotel-plaza-cienfuegos.html"", ""vertical"": ""Tourism""}"
Hostal Ibiza Talca,+56 990 327 387,+56 990 327 387,Hostal Ibiza Talca,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,hostalibiza.cl — ECONNREFUSED (SERVER DEAD!),"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""hostalibiza.cl — ECONNREFUSED (SERVER DEAD!)"", ""page"": ""companies/talca/hostal-ibiza-talca.html"", ""vertical"": ""Tourism""}"
Hotel Cordillera,+56 71 222 1817,+56 71 222 1817,Hotel Cordillera,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,cordillerahotel.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""cordillerahotel.cl"", ""page"": ""companies/talca/hotel-cordillera.html"", ""vertical"": ""Tourism""}"
Hotel Insigne,(71) 235 7292 / (56) 949 481 019,(71) 235 7292 / (56) 949 481 019,Hotel Insigne,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,hotelinsigne.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""hotelinsigne.cl"", ""page"": ""companies/talca/hotel-insigne.html"", ""vertical"": ""Tourism""}"
Apart Hotel Las Rastras,+56 9 4436 0454,+56 9 4436 0454,Apart Hotel Las Rastras,Tourism & Hospitality — Talca,lead,0,tourism,Tourism & Hospitality,talca,aparthotellasrastras.cl,"{""city"": ""talca"", ""niche"": ""tourism"", ""website"": ""aparthotellasrastras.cl"", ""page"": ""companies/talca/apart-hotel-las-rastras.html"", ""vertical"": ""Tourism""}"
Las Viejas Cochinas,02 7121 6621,02 7121 6621,Las Viejas Cochinas,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,lasviejascochinas.cl — ECONNREFUSED (SERVER DEAD!),"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""lasviejascochinas.cl — ECONNREFUSED (SERVER DEAD!)"", ""page"": ""companies/talca/las-viejas-cochinas.html"", ""vertical"": ""Restaurants""}"
Vivace Restaurant,+56 71 223 2350,+56 71 223 2350,Vivace Restaurant,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,NO WEBSITE — Facebook only,"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""NO WEBSITE — Facebook only"", ""page"": ""companies/talca/vivace-restaurant.html"", ""vertical"": ""Restaurants""}"
Don Ambrosio — Restaurante Peruano,+56 71 221 3021,+56 71 221 3021,Don Ambrosio — Restaurante Peruano,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,NO WEBSITE — digital menu only (uqr.to),"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""NO WEBSITE — digital menu only (uqr.to)"", ""page"": ""companies/talca/don-ambrosio-—-restaurante-peruano.html"", ""vertical"": ""Restaurants""}"
Tierra Norteña,+56 9 8938 9710,+56 9 8938 9710,Tierra Norteña,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,restaurantperuanotierranorteña.cl (punycode domain),"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""restaurantperuanotierranorteña.cl (punycode domain)"", ""page"": ""companies/talca/tierra-norteña.html"", ""vertical"": ""Restaurants""}"
Da Vinci Trattoria,71 223 0725 / +569 418 980 70,71 223 0725 / +569 418 980 70,Da Vinci Trattoria,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,davincitrattoria.cl (Wix),"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""davincitrattoria.cl (Wix)"", ""page"": ""companies/talca/da-vinci-trattoria.html"", ""vertical"": ""Restaurants""}"
Ventura (Casino Talca Restaurant),+71 252 8000,+71 252 8000,Ventura (Casino Talca Restaurant),Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,ventura.hotelcasinotalca.cl,"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""ventura.hotelcasinotalca.cl"", ""page"": ""companies/talca/ventura-(casino-talca-restaurant).html"", ""vertical"": ""Restaurants""}"
La Tía,Opens 6:00 AM — near Matadero,Opens 6:00 AM — near Matadero,La Tía,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,NO WEBSITE — TikTok famous only,"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""NO WEBSITE — TikTok famous only"", ""page"": ""companies/talca/la-tía.html"", ""vertical"": ""Restaurants""}"
Ryoshi Sushi Bar Marisquería,+56 71 268 2018,+56 71 268 2018,Ryoshi Sushi Bar Marisquería,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,NO WEBSITE — Facebook only,"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""NO WEBSITE — Facebook only"", ""page"": ""companies/talca/ryoshi-sushi-bar-marisquería.html"", ""vertical"": ""Restaurants""}"
Hikari Sushi Bar,Facebook @Hikarisushibar17,Facebook @Hikarisushibar17,Hikari Sushi Bar,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,hikarisushibar.cl (franchise site),"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""hikarisushibar.cl (franchise site)"", ""page"": ""companies/talca/hikari-sushi-bar.html"", ""vertical"": ""Restaurants""}"
Lisboa Pub,"Cam. Las Rastras 2, Km 3","Cam. Las Rastras 2, Km 3",Lisboa Pub,Restaurants & Gastronomy — Talca,lead,0,restaurants,Restaurants & Gastronomy,talca,NO WEBSITE,"{""city"": ""talca"", ""niche"": ""restaurants"", ""website"": ""NO WEBSITE"", ""page"": ""companies/talca/lisboa-pub.html"", ""vertical"": ""Restaurants""}"
Clínica Veterinaria Talca,+56 9 5751 7960,+56 9 5751 7960,Clínica Veterinaria Talca,Health & Medical — Talca,lead,0,health,Health & Medical,talca,clinicaveterinariatalca.cl + consulta-veterinaria-talca.webnode.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""clinicaveterinariatalca.cl + consulta-veterinaria-talca.webnode.cl"", ""page"": ""companies/talca/clínica-veterinaria-talca.html"", ""vertical"": ""Health""}"
Centro Médico Veterinario Los Robles,(+56) 71 243 1284,(+56) 71 243 1284,Centro Médico Veterinario Los Robles,Health & Medical — Talca,lead,0,health,Health & Medical,talca,cmvlosrobles.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""cmvlosrobles.cl"", ""page"": ""companies/talca/centro-médico-veterinario-los-robles.html"", ""vertical"": ""Health""}"
Pet Salud Talca,WordPress / Divi Theme,WordPress / Divi Theme,Pet Salud Talca,Health & Medical — Talca,lead,0,health,Health & Medical,talca,petsaludtalca.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""petsaludtalca.cl"", ""page"": ""companies/talca/pet-salud-talca.html"", ""vertical"": ""Health""}"
Clínica Veterinaria Ankupay,+56 962 425 090,+56 962 425 090,Clínica Veterinaria Ankupay,Health & Medical — Talca,lead,0,health,Health & Medical,talca,clinica-veterinaria-ankupay.ueniweb.com — FREE UENIWEB SUBDOMAIN!,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""clinica-veterinaria-ankupay.ueniweb.com — FREE UENIWEB SUBDOMAIN!"", ""page"": ""companies/talca/clínica-veterinaria-ankupay.html"", ""vertical"": ""Health""}"
Clínica Dental La Estancia,+56 4 4328 1014 / +56 9 7779 4059,+56 4 4328 1014 / +56 9 7779 4059,Clínica Dental La Estancia,Health & Medical — Talca,lead,0,health,Health & Medical,talca,clinicadentallaestancia.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""clinicadentallaestancia.cl"", ""page"": ""companies/talca/clínica-dental-la-estancia.html"", ""vertical"": ""Health""}"
Clínica Dental Chilena,Not found,,Clínica Dental Chilena,Health & Medical — Talca,lead,0,health,Health & Medical,talca,clinicachilena.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""clinicachilena.cl"", ""page"": ""companies/talca/clínica-dental-chilena.html"", ""vertical"": ""Health""}"
Clínica Dental Viamedical,+56 9 8137 4314 / 712 227104,+56 9 8137 4314 / 712 227104,Clínica Dental Viamedical,Health & Medical — Talca,lead,0,health,Health & Medical,talca,viamedical.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""viamedical.cl"", ""page"": ""companies/talca/clínica-dental-viamedical.html"", ""vertical"": ""Health""}"
Centro Odontológico IOT,+56 9 3255 4466 / +56 9 8403 6646,+56 9 3255 4466 / +56 9 8403 6646,Centro Odontológico IOT,Health & Medical — Talca,lead,0,health,Health & Medical,talca,iotalca.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""iotalca.cl"", ""page"": ""companies/talca/centro-odontológico-iot.html"", ""vertical"": ""Health""}"
Clínica Renace,+56 959 297 821,+56 959 297 821,Clínica Renace,Health & Medical — Talca,lead,0,health,Health & Medical,talca,clinicarenace.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""clinicarenace.cl"", ""page"": ""companies/talca/clínica-renace.html"", ""vertical"": ""Health""}"
Centro Odontológico Matiza,+56 71 261 3278 + 3 WhatsApp numbers,+56 71 261 3278 + 3 WhatsApp numbers,Centro Odontológico Matiza,Health & Medical — Talca,lead,0,health,Health & Medical,talca,matiza.cl,"{""city"": ""talca"", ""niche"": ""health"", ""website"": ""matiza.cl"", ""page"": ""companies/talca/centro-odontológico-matiza.html"", ""vertical"": ""Health""}"
Vidriería López,info@vidrierialopez.com,+56974733926,Vidriería López,Small/Medium Business — Talca,lead,0,smb,Small/Medium Business,talca,www.vidrierialopez.cl,"{""city"": ""talca"", ""niche"": ""smb"", ""website"": ""www.vidrierialopez.cl"", ""page"": ""companies/talca/vidrieria-lopez.html"", ""vertical"": ""Small/Medium Business"", ""source"": ""generated""}"
Estudio Jurídico Contreras,secretaria@estudiojuridicocontr.cl,+56953393105,Estudio Jurídico Contreras,Law Firms — Talca,lead,0,law_firms,Law Firms,talca,www.estudiojuridicocontreras.cl,"{""city"": ""talca"", ""niche"": ""law_firms"", ""website"": ""www.estudiojuridicocontreras.cl"", ""page"": ""companies/talca/estudio-juridico-contreras.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Estudio Castillo & Riquelme,abogados@estudiocastillorique.cl,+56965850027,Estudio Castillo & Riquelme,Law Firms — Talca,lead,0,law_firms,Law Firms,talca,www.estudiocastilloriquelme.cl,"{""city"": ""talca"", ""niche"": ""law_firms"", ""website"": ""www.estudiocastilloriquelme.cl"", ""page"": ""companies/talca/estudio-castillo--riquelme.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Corredora Garrido,info@corredoragarrido.propiedades.cl,+56984393945,Corredora Garrido,Real Estate — Talca,lead,0,real_estate,Real Estate,talca,www.corredoragarrido.cl,"{""city"": ""talca"", ""niche"": ""real_estate"", ""website"": ""www.corredoragarrido.cl"", ""page"": ""companies/talca/corredora-garrido.html"", ""vertical"": ""Real Estate"", ""source"": ""generated""}"
Estudio Fotográfico Alarcón,hola@estudiofotograficoal.cl,+56971541863,Estudio Fotográfico Alarcón,Local Specialist — Talca,lead,0,local_specialist,Local Specialist,talca,www.estudiofotograficoalarcon.cl,"{""city"": ""talca"", ""niche"": ""local_specialist"", ""website"": ""www.estudiofotograficoalarcon.cl"", ""page"": ""companies/talca/estudio-fotografico-alarcon.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Lavado Tapia,repuestos@lavadotapia.cl,+56953641356,Lavado Tapia,Automotive — Talca,lead,0,automotive,Automotive,talca,www.lavadotapia.cl,"{""city"": ""talca"", ""niche"": ""automotive"", ""website"": ""www.lavadotapia.cl"", ""page"": ""companies/talca/lavado-tapia.html"", ""vertical"": ""Automotive"", ""source"": ""generated""}"
Instituto Profesional Sepúlveda,admisiones@institutoprofesionalse.com.cl,+56961970229,Instituto Profesional Sepúlveda,Education — Talca,lead,0,education,Education,talca,www.institutoprofesionalse.cl,"{""city"": ""talca"", ""niche"": ""education"", ""website"": ""www.institutoprofesionalse.cl"", ""page"": ""companies/talca/instituto-profesional-sepulveda.html"", ""vertical"": ""Education"", ""source"": ""generated""}"
Jardinería Talca,contacto@jardineriatalca.com.cl,+56975277965,Jardinería Talca,Home Services & Construction — Talca,lead,0,home_services,Home Services & Construction,talca,www.jardineriatalca.cl,"{""city"": ""talca"", ""niche"": ""home_services"", ""website"": ""www.jardineriatalca.cl"", ""page"": ""companies/talca/jardineria-talca.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Fundo Valenzuela,exportacion@fundovalenzuela.cl,+56952140457,Fundo Valenzuela,Wine & Agriculture — Talca,lead,0,wine_agriculture,Wine & Agriculture,talca,www.fundovalenzuela.cl,"{""city"": ""talca"", ""niche"": ""wine_agriculture"", ""website"": ""www.fundovalenzuela.cl"", ""page"": ""companies/talca/fundo-valenzuela.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Consultora Financiera Gutiérrez,contacto@consultorafinancieragu.com,+56969395281,Consultora Financiera Gutiérrez,Financial Services — Talca,lead,0,financial_services,Financial Services,talca,www.consultorafinancieragu.cl,"{""city"": ""talca"", ""niche"": ""financial_services"", ""website"": ""www.consultorafinancieragu.cl"", ""page"": ""companies/talca/consultora-financiera-gutierrez.html"", ""vertical"": ""Financial Services"", ""source"": ""generated""}"
Jardín de Eventos Riquelme,info@jardindeeventosriquelm.com,+56948146932,Jardín de Eventos Riquelme,Events & Weddings — Talca,lead,0,events_weddings,Events & Weddings,talca,www.jardindeeventosriquelm.cl,"{""city"": ""talca"", ""niche"": ""events_weddings"", ""website"": ""www.jardindeeventosriquelm.cl"", ""page"": ""companies/talca/jardin-de-eventos-riquelme.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
