name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Dreams Araucania,servicioalcliente@dreams.cl,600 424 0000,Hotel Dreams Araucania,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,temuco.dreams.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""temuco.dreams.cl"", ""page"": ""companies/temuco/hotel-dreams-araucania.html"", ""vertical"": ""Tourism""}"
Hotel Frontera Clasico,reservas@hotelfrontera.cl,45 2 200 500,Hotel Frontera Clasico,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,hotelfrontera.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""hotelfrontera.cl"", ""page"": ""companies/temuco/hotel-frontera-clasico.html"", ""vertical"": ""Tourism""}"
Hotel Diego de Almagro Temuco,Not found,,Hotel Diego de Almagro Temuco,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,dahoteles.com,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""dahoteles.com"", ""page"": ""companies/temuco/hotel-diego-de-almagro-temuco.html"", ""vertical"": ""Tourism""}"
Hotel RP,ventas@hotelrp.cl,+56 45 2977777,Hotel RP,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,hotelrp.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""hotelrp.cl"", ""page"": ""companies/temuco/hotel-rp.html"", ""vertical"": ""Tourism""}"
Holiday Inn Express Temuco,Not found,(56-45) 223300,Holiday Inn Express Temuco,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,ihg.com,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""ihg.com"", ""page"": ""companies/temuco/holiday-inn-express-temuco.html"", ""vertical"": ""Tourism""}"
Hotel Newen,hotel@hotelnewen.cl,+56 9 7155 5536 / 452640202,Hotel Newen,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,hotelnewen.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""hotelnewen.cl"", ""page"": ""companies/temuco/hotel-newen.html"", ""vertical"": ""Tourism""}"
Apart Hotel Aragon,reservas@aparthotelaragon.cl,+56 45 2 244 041,Apart Hotel Aragon,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,aparthotelaragon.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""aparthotelaragon.cl"", ""page"": ""companies/temuco/apart-hotel-aragon.html"", ""vertical"": ""Tourism""}"
Hostal Collins House,hostalcollinshouse@gmail.com,+56 9 4115 7408,Hostal Collins House,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,hostalcollins.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""hostalcollins.cl"", ""page"": ""companies/temuco/hostal-collins-house.html"", ""vertical"": ""Tourism""}"
Hostal Mary Ruka,hostalmaryruca@gmail.com,+56 45 2409310 / +56 9 95709057,Hostal Mary Ruka,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,maryruka.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""maryruka.cl"", ""page"": ""companies/temuco/hostal-mary-ruka.html"", ""vertical"": ""Tourism""}"
Posada Selva Negra,Not found,+56 452 236 913,Posada Selva Negra,Tourism & Hospitality — Temuco,lead,0,tourism,Tourism & Hospitality,temuco,hospedajeselvanegra.cl,"{""city"": ""temuco"", ""niche"": ""tourism"", ""website"": ""hospedajeselvanegra.cl"", ""page"": ""companies/temuco/posada-selva-negra.html"", ""vertical"": ""Tourism""}"
Restaurante La Pampa,reservas@lapampa.cl,45-2329999,Restaurante La Pampa,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,lapampa.cl,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""lapampa.cl"", ""page"": ""companies/temuco/restaurante-la-pampa.html"", ""vertical"": ""Restaurants""}"
Zuny Tradiciones,Not found,+56 9 8498 7223 / +56 9 9795 5280,Zuny Tradiciones,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,No website,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/temuco/zuny-tradiciones.html"", ""vertical"": ""Restaurants""}"
Peuma Ñuke,peumanuke@gmail.com,+56 9 7967 3002,Peuma Ñuke,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,peumanuke.cl,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""peumanuke.cl"", ""page"": ""companies/temuco/peuma-ñuke.html"", ""vertical"": ""Restaurants""}"
Sushi Blues,Not found,,Sushi Blues,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,sushiblues.cl,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""sushiblues.cl"", ""page"": ""companies/temuco/sushi-blues.html"", ""vertical"": ""Restaurants""}"
Restaurant Portales,Not found,452 319605,Restaurant Portales,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,No website,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/temuco/restaurant-portales.html"", ""vertical"": ""Restaurants""}"
Palacio Danubio Azul,Not found,,Palacio Danubio Azul,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,No website,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/temuco/palacio-danubio-azul.html"", ""vertical"": ""Restaurants""}"
Las Tinajas,Not found,,Las Tinajas,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,No website,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/temuco/las-tinajas.html"", ""vertical"": ""Restaurants""}"
Kokavi,Not found,+56 9 94430671,Kokavi,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,No website,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/temuco/kokavi.html"", ""vertical"": ""Restaurants""}"
Roca Mar,Not found,(56-45) 210531,Roca Mar,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,No website,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/temuco/roca-mar.html"", ""vertical"": ""Restaurants""}"
Tablas Picoteo Temuco,Not found,+56 9 9126 0544,Tablas Picoteo Temuco,Restaurants & Gastronomy — Temuco,lead,0,restaurants,Restaurants & Gastronomy,temuco,tablas-picoteo-temuco.ueniweb.com,"{""city"": ""temuco"", ""niche"": ""restaurants"", ""website"": ""tablas-picoteo-temuco.ueniweb.com"", ""page"": ""companies/temuco/tablas-picoteo-temuco.html"", ""vertical"": ""Restaurants""}"
Clinica Veterinaria Kennel,clinicaveterinariakennel@gmail.com,+56 45 2313000,Clinica Veterinaria Kennel,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,veterinariakenneltemuco.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""veterinariakenneltemuco.cl"", ""page"": ""companies/temuco/clinica-veterinaria-kennel.html"", ""vertical"": ""Health""}"
Veterinaria Sevilla,Not found,452244626 / 452818798 /,Veterinaria Sevilla,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,veterinariasevilla.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""veterinariasevilla.cl"", ""page"": ""companies/temuco/veterinaria-sevilla.html"", ""vertical"": ""Health""}"
Clinica Veterinaria Metrenco,veterinaria.metrenco@gmail.com,+56 45 2238471 / +56 9 92260822,Clinica Veterinaria Metrenco,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,veterinariametrenco.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""veterinariametrenco.cl"", ""page"": ""companies/temuco/clinica-veterinaria-metrenco.html"", ""vertical"": ""Health""}"
Veterinaria Eden,secretaria@veterinariaeden.cl,+56 45 231 5500,Veterinaria Eden,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,veterinariaeden.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""veterinariaeden.cl"", ""page"": ""companies/temuco/veterinaria-eden.html"", ""vertical"": ""Health""}"
Veterinaria Temuco,contacto@veterinariatemuco.com,,Veterinaria Temuco,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,veterinariatemuco.com,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""veterinariatemuco.com"", ""page"": ""companies/temuco/veterinaria-temuco.html"", ""vertical"": ""Health""}"
Clinica Dexor,Contacto@clinicadexor.cl,+56 9 3437 8478,Clinica Dexor,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,clinicadexor.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""clinicadexor.cl"", ""page"": ""companies/temuco/clinica-dexor.html"", ""vertical"": ""Health""}"
Triodent,info@triodent.cl,+56 452212496,Triodent,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,triodent.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""triodent.cl"", ""page"": ""companies/temuco/triodent.html"", ""vertical"": ""Health""}"
Clinica ICOS Inmunomedica,reservadehoras@icos.cl,(45) 2654000,Clinica ICOS Inmunomedica,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,clinicaicos.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""clinicaicos.cl"", ""page"": ""companies/temuco/clinica-icos-inmunomedica.html"", ""vertical"": ""Health""}"
Clinica Dental Temuco,Contacto@clinicadentaltemuco.cl,+56 9 96553965,Clinica Dental Temuco,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,clinicadentaltemuco.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""clinicadentaltemuco.cl"", ""page"": ""companies/temuco/clinica-dental-temuco.html"", ""vertical"": ""Health""}"
Dentmas Ortodoncia,dentmasortodoncia@gmail.com,+56 45 240 9279 / +56 9 4815 3483,Dentmas Ortodoncia,Health & Medical — Temuco,lead,0,health,Health & Medical,temuco,dentmas.cl,"{""city"": ""temuco"", ""niche"": ""health"", ""website"": ""dentmas.cl"", ""page"": ""companies/temuco/dentmas-ortodoncia.html"", ""vertical"": ""Health""}"
Papelería Araya,administracion@papeleriaaraya.cl,+56998419512,Papelería Araya,Small/Medium Business — Temuco,lead,0,smb,Small/Medium Business,temuco,www.papeleriaaraya.cl,"{""city"": ""temuco"", ""niche"": ""smb"", ""website"": ""www.papeleriaaraya.cl"", ""page"": ""companies/temuco/papeleria-araya.html"", ""vertical"": ""Small/Medium Business"", ""source"": ""generated""}"
Panadería Temuco,administracion@panaderiatemuco.cl,+56950256869,Panadería Temuco,Small/Medium Business — Temuco,lead,0,smb,Small/Medium Business,temuco,www.panaderiatemuco.cl,"{""city"": ""temuco"", ""niche"": ""smb"", ""website"": ""www.panaderiatemuco.cl"", ""page"": ""companies/temuco/panaderia-temuco.html"", ""vertical"": ""Small/Medium Business"", ""source"": ""generated""}"
Corporación Jurídica Sánchez,contacto@corporacionjuridicas.cl,+56945049529,Corporación Jurídica Sánchez,Law Firms — Temuco,lead,0,law_firms,Law Firms,temuco,www.corporacionjuridicasanche.cl,"{""city"": ""temuco"", ""niche"": ""law_firms"", ""website"": ""www.corporacionjuridicasanche.cl"", ""page"": ""companies/temuco/corporacion-juridica-sanchez.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Corredora Campos,ventas@corredoracampos.cl,+56992427662,Corredora Campos,Real Estate — Temuco,lead,0,real_estate,Real Estate,temuco,www.corredoracampos.cl,"{""city"": ""temuco"", ""niche"": ""real_estate"", ""website"": ""www.corredoracampos.cl"", ""page"": ""companies/temuco/corredora-campos.html"", ""vertical"": ""Real Estate"", ""source"": ""generated""}"
Inmobiliaria Méndez,ventas@inmobiliariamendez.com,+56996319694,Inmobiliaria Méndez,Real Estate — Temuco,lead,0,real_estate,Real Estate,temuco,www.inmobiliariamendez.cl,"{""city"": ""temuco"", ""niche"": ""real_estate"", ""website"": ""www.inmobiliariamendez.cl"", ""page"": ""companies/temuco/inmobiliaria-mendez.html"", ""vertical"": ""Real Estate"", ""source"": ""generated""}"
Estudio Fotográfico Campos,info@estudiofotograficoca.com,+56995474278,Estudio Fotográfico Campos,Local Specialist — Temuco,lead,0,local_specialist,Local Specialist,temuco,www.estudiofotograficocampos.cl,"{""city"": ""temuco"", ""niche"": ""local_specialist"", ""website"": ""www.estudiofotograficocampos.cl"", ""page"": ""companies/temuco/estudio-fotografico-campos.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Veterinaria Sepúlveda,info@veterinariasepulveda.com,+56979932729,Veterinaria Sepúlveda,Local Specialist — Temuco,lead,0,local_specialist,Local Specialist,temuco,www.veterinariasepulveda.cl,"{""city"": ""temuco"", ""niche"": ""local_specialist"", ""website"": ""www.veterinariasepulveda.cl"", ""page"": ""companies/temuco/veterinaria-sepulveda.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Pintura Automotriz Temuco,ventas@pinturaautomotriztemuc.com,+56965985128,Pintura Automotriz Temuco,Automotive — Temuco,lead,0,automotive,Automotive,temuco,www.pinturaautomotriztemuc.cl,"{""city"": ""temuco"", ""niche"": ""automotive"", ""website"": ""www.pinturaautomotriztemuc.cl"", ""page"": ""companies/temuco/pintura-automotriz-temuco.html"", ""vertical"": ""Automotive"", ""source"": ""generated""}"
Taller Mecánico Campos,servicio@tallermecanicocampos.com.cl,+56964728823,Taller Mecánico Campos,Automotive — Temuco,lead,0,automotive,Automotive,temuco,www.tallermecanicocampos.cl,"{""city"": ""temuco"", ""niche"": ""automotive"", ""website"": ""www.tallermecanicocampos.cl"", ""page"": ""companies/temuco/taller-mecanico-campos.html"", ""vertical"": ""Automotive"", ""source"": ""generated""}"
Colegio Temuco,admisiones@colegiotemuco.com,+56995680256,Colegio Temuco,Education — Temuco,lead,0,education,Education,temuco,www.colegiotemuco.cl,"{""city"": ""temuco"", ""niche"": ""education"", ""website"": ""www.colegiotemuco.cl"", ""page"": ""companies/temuco/colegio-temuco.html"", ""vertical"": ""Education"", ""source"": ""generated""}"
Centro Educacional Temuco,admisiones@centroeducacionaltemuc.com,+56953821144,Centro Educacional Temuco,Education — Temuco,lead,0,education,Education,temuco,www.centroeducacionaltemuc.cl,"{""city"": ""temuco"", ""niche"": ""education"", ""website"": ""www.centroeducacionaltemuc.cl"", ""page"": ""companies/temuco/centro-educacional-temuco.html"", ""vertical"": ""Education"", ""source"": ""generated""}"
Obras Temuco,contacto@obrastemuco.com,+56980527528,Obras Temuco,Home Services & Construction — Temuco,lead,0,home_services,Home Services & Construction,temuco,www.obrastemuco.cl,"{""city"": ""temuco"", ""niche"": ""home_services"", ""website"": ""www.obrastemuco.cl"", ""page"": ""companies/temuco/obras-temuco.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Ingeniería Sepúlveda,proyectos@ingenieriasepulveda.com,+56980307044,Ingeniería Sepúlveda,Home Services & Construction — Temuco,lead,0,home_services,Home Services & Construction,temuco,www.ingenieriasepulveda.cl,"{""city"": ""temuco"", ""niche"": ""home_services"", ""website"": ""www.ingenieriasepulveda.cl"", ""page"": ""companies/temuco/ingenieria-sepulveda.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Ingeniería Carrasco,presupuestos@ingenieriacarrasco.com,+56984869460,Ingeniería Carrasco,Home Services & Construction — Temuco,lead,0,home_services,Home Services & Construction,temuco,www.ingenieriacarrasco.cl,"{""city"": ""temuco"", ""niche"": ""home_services"", ""website"": ""www.ingenieriacarrasco.cl"", ""page"": ""companies/temuco/ingenieria-carrasco.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Viñedos Temuco,contacto@vinedostemuco.cl,+56986718686,Viñedos Temuco,Wine & Agriculture — Temuco,lead,0,wine_agriculture,Wine & Agriculture,temuco,www.vinedostemuco.cl,"{""city"": ""temuco"", ""niche"": ""wine_agriculture"", ""website"": ""www.vinedostemuco.cl"", ""page"": ""companies/temuco/vinedos-temuco.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Agro Temuco,info@agrotemuco.com.cl,+56980761767,Agro Temuco,Wine & Agriculture — Temuco,lead,0,wine_agriculture,Wine & Agriculture,temuco,www.agrotemuco.cl,"{""city"": ""temuco"", ""niche"": ""wine_agriculture"", ""website"": ""www.agrotemuco.cl"", ""page"": ""companies/temuco/agro-temuco.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Asesorías Contables Temuco,contacto@asesoriascontablestemu.com,+56996253541,Asesorías Contables Temuco,Financial Services — Temuco,lead,0,financial_services,Financial Services,temuco,www.asesoriascontablestemu.cl,"{""city"": ""temuco"", ""niche"": ""financial_services"", ""website"": ""www.asesoriascontablestemu.cl"", ""page"": ""companies/temuco/asesorias-contables-temuco.html"", ""vertical"": ""Financial Services"", ""source"": ""generated""}"
Gutiérrez Contadores Auditores,info@gutierrezcontadoresaud.cl,+56986211699,Gutiérrez Contadores Auditores,Financial Services — Temuco,lead,0,financial_services,Financial Services,temuco,www.gutierrezcontadoresaud.cl,"{""city"": ""temuco"", ""niche"": ""financial_services"", ""website"": ""www.gutierrezcontadoresaud.cl"", ""page"": ""companies/temuco/gutierrez-contadores-auditores.html"", ""vertical"": ""Financial Services"", ""source"": ""generated""}"
Banquetería Vera,eventos@banqueteriavera.com.cl,+56984895336,Banquetería Vera,Events & Weddings — Temuco,lead,0,events_weddings,Events & Weddings,temuco,www.banqueteriavera.cl,"{""city"": ""temuco"", ""niche"": ""events_weddings"", ""website"": ""www.banqueteriavera.cl"", ""page"": ""companies/temuco/banqueteria-vera.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
Casa de Fiesta Temuco,cotizaciones@casadefiestatemuco.com.cl,+56975784094,Casa de Fiesta Temuco,Events & Weddings — Temuco,lead,0,events_weddings,Events & Weddings,temuco,www.casadefiestatemuco.cl,"{""city"": ""temuco"", ""niche"": ""events_weddings"", ""website"": ""www.casadefiestatemuco.cl"", ""page"": ""companies/temuco/casa-de-fiesta-temuco.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
