name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
CasaBlu Hotel,reservas@casablu.cl,+56 2 2984 1442,CasaBlu Hotel,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,casablu.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""casablu.cl"", ""page"": ""companies/valparaíso/casablu-hotel.html"", ""vertical"": ""Tourism""}"
Hotel Gervasoni,recepcion@hotelgervasoni.com,(56-32) 2239236 / +56 9 8336 5233,Hotel Gervasoni,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,hotelgervasoni.com,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""hotelgervasoni.com"", ""page"": ""companies/valparaíso/hotel-gervasoni.html"", ""vertical"": ""Tourism""}"
Casa Volante Hostal,lacasavolante@gmail.com,+56 9 3191 7326 / +56 32 317 4292,Casa Volante Hostal,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,casavolantehostal.com,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""casavolantehostal.com"", ""page"": ""companies/valparaíso/casa-volante-hostal.html"", ""vertical"": ""Tourism""}"
Hostal Destino Bellavista,anapatricia.alcaino@gmail.com,+56 9 7894 8341,Hostal Destino Bellavista,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,hostaldestinobellavista.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""hostaldestinobellavista.cl"", ""page"": ""companies/valparaíso/hostal-destino-bellavista.html"", ""vertical"": ""Tourism""}"
Hostal Mi Paz,contacto@hostalmipaz.cl,+56 9 8417 9952,Hostal Mi Paz,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,hostalmipaz.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""hostalmipaz.cl"", ""page"": ""companies/valparaíso/hostal-mi-paz.html"", ""vertical"": ""Tourism""}"
Renaca House Hotel,Not found,+56 32 320 5240 /,Renaca House Hotel,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,renacahouse.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""renacahouse.cl"", ""page"": ""companies/valparaíso/renaca-house-hotel.html"", ""vertical"": ""Tourism""}"
VOY Hostales,Not found,,VOY Hostales,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,voyhostales.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""voyhostales.cl"", ""page"": ""companies/valparaíso/voy-hostales.html"", ""vertical"": ""Tourism""}"
Somerscales Hotel Boutique,Not found,+56 32 233 1006,Somerscales Hotel Boutique,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,hotelsomerscales.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""hotelsomerscales.cl"", ""page"": ""companies/valparaíso/somerscales-hotel-boutique.html"", ""vertical"": ""Tourism""}"
Hotel Boutique 17,Not found,+56 32 327 7295,Hotel Boutique 17,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,No website,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/valparaíso/hotel-boutique-17.html"", ""vertical"": ""Tourism""}"
Reñaca Beach Hostel,Not found,,Reñaca Beach Hostel,Tourism & Hospitality — Valparaíso,lead,0,tourism,Tourism & Hospitality,valparaíso,renacabeachhostel.cl,"{""city"": ""valparaíso"", ""niche"": ""tourism"", ""website"": ""renacabeachhostel.cl"", ""page"": ""companies/valparaíso/reñaca-beach-hostel.html"", ""vertical"": ""Tourism""}"
